nominal,ensemble_only,recalibrated
0.05,0.0,0.2608695652173913
0.1,0.0,0.34782608695652173
0.15,0.0,0.4782608695652174
0.2,0.13043478260869565,0.6521739130434783
0.25,0.13043478260869565,0.6956521739130435
0.3,0.13043478260869565,0.6956521739130435
0.35,0.17391304347826086,0.7391304347826086
0.39999999999999997,0.17391304347826086,0.7391304347826086
0.44999999999999996,0.17391304347826086,0.7391304347826086
0.49999999999999994,0.17391304347826086,0.782608695652174
0.5499999999999999,0.17391304347826086,0.782608695652174
0.6,0.17391304347826086,0.782608695652174
0.65,0.17391304347826086,0.782608695652174
0.7,0.17391304347826086,0.782608695652174
0.75,0.17391304347826086,0.782608695652174
0.7999999999999999,0.21739130434782608,0.782608695652174
0.85,0.2608695652173913,0.782608695652174
0.9,0.2608695652173913,0.8260869565217391
0.95,0.30434782608695654,0.9565217391304348
