Configuration,Quantile coverage,Gaussian coverage,Avg rel width,Avg member sd,MAE
LagRD,4.3478260869565215,4.3478260869565215,5.725396284638914,4.838466267415976,28.79276993868012
Macros,13.043478260869565,17.391304347826086,11.392423283981953,5.62060405079482,36.645771784845344
AGT,30.434782608695656,30.434782608695656,18.66159779086599,12.688752280428403,40.80250369522463
MGT,17.391304347826086,30.434782608695656,13.682436906444462,8.172710434372291,44.313084057952054
AGTwRD,30.434782608695656,30.434782608695656,17.453098642976297,10.909047319212418,35.93231505454823
MGTwRD,39.130434782608695,47.82608695652174,16.539740945153756,11.447609174526907,32.8577411327781
AllVar,30.434782608695656,34.78260869565217,15.330553777411964,9.143507235432542,32.48270225297199
