Model,nominal,empirical_coverage,avg_width,avg_rel_width_%
NN-LagRD,0.8,0.6992753623188406,9.249644556252852,15.115885429859818
NN-Macros,0.8,0.4492753623188406,17.208438236817067,28.122246128766264
NN-AGT,0.8,0.6630434782608695,22.08389635094698,36.08978107814422
NN-AGTwRD,0.8,0.4492753623188406,17.72687436368154,28.969480965599637
NN-AllVar,0.8,0.6340579710144928,12.510058406988778,20.444094738004083
