,Country,Year,rd_expenditure,rd_expenditure_missing
99,CA,1981,8.45853067626155,0
100,CA,1982,9.081355303630389,0
101,CA,1983,9.1264903889368,0
102,CA,1984,9.8776195865978,0
103,CA,1985,10.6044579724551,0
104,CA,1986,11.0203329004644,0
105,CA,1987,11.1748506263844,0
106,CA,1988,11.5894158986872,0
107,CA,1989,12.4923578977242,0
108,CA,1990,12.9559148666005,0
109,CA,1991,13.1371286722748,0
110,CA,1992,13.5803332841865,0
111,CA,1993,14.3445838768057,0
112,CA,1994,15.4585966920263,0
113,CA,1995,15.7352451332076,0
114,CA,1996,15.6235002108226,0
115,CA,1997,16.304135254305802,0
116,CA,1998,17.6792243508043,0
117,CA,1999,19.1237162207951,0
118,CA,2000,21.7480514574105,0
119,CA,2001,23.9740393131953,0
120,CA,2002,23.836965626930702,0
121,CA,2003,24.648739457124,0
122,CA,2004,26.1651913298187,0
123,CA,2005,26.9642357394488,0
124,CA,2006,27.3547991210384,0
125,CA,2007,27.6015845003174,0
126,CA,2008,27.5691936338647,0
127,CA,2009,26.802731425085703,0
128,CA,2010,26.7182709812372,0
129,CA,2011,27.2476827653473,0
130,CA,2012,27.3727874650363,0
131,CA,2013,27.007439245207998,0
132,CA,2014,27.7919793024325,0
133,CA,2015,27.0046979120185,0
134,CA,2016,27.7556378583315,0
135,CA,2017,28.228129675399398,0
136,CA,2018,29.8951052866978,0
137,CA,2019,30.6966255814402,0
138,CA,2020,31.111028153459,0
139,CA,2021,30.4771553950946,0
140,CA,2022,28.5643588273563,0
288,DE,1981,45.4870740274098,0
289,DE,1982,46.63002807771031,0
290,DE,1983,47.1466840806689,0
291,DE,1984,48.865613874232096,0
292,DE,1985,53.232430268356005,0
293,DE,1986,55.403548971978005,0
294,DE,1987,58.2546865040415,0
295,DE,1988,60.4528993573188,0
296,DE,1989,62.3880763035669,0
297,DE,1990,63.1161509047095,0
298,DE,1991,68.05491207666131,0
299,DE,1992,66.0615808656682,0
300,DE,1993,63.486023083371,0
301,DE,1994,62.6569025516505,0
302,DE,1995,63.890670733850605,0
