Country,True,Forecast
CA,27.7919793024325,26.902972499091888
CA,27.0046979120185,27.044002434389114
CA,27.7556378583315,27.03472329046845
CA,28.228129675399398,26.91399352074867
CA,29.8951052866978,26.886734976246245
CA,30.6966255814402,26.915535200087586
CA,31.111028153459,26.89478551737952
CA,30.4771553950946,26.85214583928721
CA,28.5643588273563,26.84067651988789
CH,16.6398934235238,15.953151901753126
CH,17.1948756219555,17.01673347205093
CH,18.5729256553376,17.94617400105147
CN,309.205058612812,307.0190983742764
CN,336.250720890688,338.66347074473435
CN,366.080932147093,371.47500032028773
CN,399.390155103394,403.461980807338
CN,430.32970332941403,434.9442675825749
CN,464.705238693159,466.33059764879914
DE,106.32326115924799,110.7191417840041
DE,110.276326391374,113.60314527909445
DE,114.097563573046,115.83728857906482
DE,116.904240781414,117.75861609613321
DE,124.393853613863,119.38511311838508
DE,128.21182225802602,120.7359752081527
DE,131.96943394897,121.87479952785819
DE,125.566643621924,122.83157621754678
DE,129.005315240608,123.63379413186631
GB,42.527477370353,39.856227633030656
GB,61.3446297023717,39.97557562772871
GB,62.9728145001246,40.115761828184056
GB,65.503087410017,40.02231878524859
GB,67.444899012621,39.94753845856026
GB,79.8627681757809,39.96416478444535
GB,79.96404528048039,39.98302878667613
GB,78.153305627187,39.975022318128225
JP,167.387098458661,158.44437563375024
JP,172.435579472777,158.53932002709155
JP,168.514031992379,158.73145280032367
JP,162.76126018587402,158.80716517303918
JP,168.66818635248703,158.83078389868305
JP,172.58621093761602,158.85035269751515
JP,171.84093590987402,158.8661647648161
JP,167.081614070721,158.87534025041828
JP,172.06248877654502,158.88036944238186
KR,76.92204037023,81.77709323002837
KR,79.3647471271804,86.24128036926163
KR,88.135828288658,90.40034376515644
KR,95.4376659429012,94.60256138890418
KR,99.970920846719,98.67132882665129
KR,102.88045893911,102.51174608154172
KR,110.148077363916,106.21874036767589
US,468.27722417165,451.9836471816253
US,481.775482622067,452.50370968647957
US,507.401,453.29854559716193
US,528.1717009030571,453.133399764212
US,549.63096952664,452.97097502360197
US,586.427345752008,453.06646983190507
US,631.845452979094,453.13242564983864
US,671.963268047983,453.12519891185497
US,709.712900312341,453.12874852236627
