Country,RMSE,MAE,MAPE,R2
CA,0.0031264782003423944,0.0027092275729369386,,-3.8706195215956605
CH,0.0009582133537048214,0.0008985699294899452,,-0.39031880230529814
CN,0.008745296856871096,0.00792405552643565,,0.9731512740291228
DE,0.012559688727848045,0.01040611054540995,,-1.1411650720299722
GB,0.029644733644662913,0.027182113105843536,,-5.350559060195863
JP,0.010183577582412642,0.00970358995622146,,-9.721153014928895
KR,0.005297654500878079,0.004680676149128653,,0.7850127318486068
US,0.1423323336589332,0.11716567414358105,,-2.131565552980777
