Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,4125.76171875,5057.8974609375,4395.3271484375,2074.287841796875,2263.808349609375,2197.197021484375,1.4742385149002075,1.5874673128128052,1.419100284576416
Model_2,3751.53955078125,4626.1162109375,3961.388916015625,1745.4549560546875,1932.0552978515625,1853.951416015625,1.2068462371826172,1.2806041240692139,1.156637191772461
Ensemble,,4826.2509765625,4162.150390625,,2091.958984375,2016.9591064453125,,1.4165682792663574,1.2659237384796143
