Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[344.92523193359375, 278.947509765625, 306.761474609375]","[271.1666259765625, 193.7150421142578, 217.7478485107422]","[0.9543296694755554, 0.6739374995231628, 0.7599706053733826]"
1,"['Model_1', 'Model_2', 'Ensemble']","[330.09326171875, 276.0118408203125, 297.7881164550781]","[324.7452392578125, 258.2564697265625, 279.6990966796875]","[2.1668643951416016, 1.6709182262420654, 1.8136571645736694]"
2,"['Model_1', 'Model_2', 'Ensemble']","[7418.0654296875, 5623.1796875, 6477.2109375]","[5604.2373046875, 4679.32763671875, 5141.7822265625]","[2.2440030574798584, 1.992350459098816, 2.1181766986846924]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1590.679931640625, 1409.994140625, 1493.032958984375]","[1228.9344482421875, 940.42724609375, 1084.257568359375]","[1.1413791179656982, 0.8612281680107117, 1.0009198188781738]"
4,"['Model_1', 'Model_2', 'Ensemble']","[3096.060791015625, 2842.21435546875, 2964.08544921875]","[985.8939208984375, 809.4368896484375, 865.6134643554688]","[1.6797069311141968, 1.3691411018371582, 1.4403256177902222]"
5,"['Model_1', 'Model_2', 'Ensemble']","[2241.351318359375, 1954.48486328125, 2090.147216796875]","[1803.8572998046875, 1406.050048828125, 1603.332763671875]","[1.0941017866134644, 0.8533176183700562, 0.9727423787117004]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1808.343994140625, 1750.71826171875, 1774.6630859375]","[1322.955810546875, 1182.66943359375, 1248.12451171875]","[2.1267127990722656, 1.7840696573257446, 1.9469231367111206]"
7,"['Model_1', 'Model_2', 'Ensemble']","[8136.791015625, 7840.1474609375, 7981.1513671875]","[4906.767578125, 4362.80615234375, 4626.32666015625]","[0.9201286435127258, 0.8064332604408264, 0.8615248203277588]"
