Variant,seed,best_val_MAPE,test_MAPE,test_RMSE,test_R2
orig_lr01_wd1e4_do10_mse,0,5.664404759486649,12.912203857170907,56.61111460873225,0.9308148830245466
orig_lr01_wd1e4_do10_mse,1,4.994710096682995,14.409154212793036,73.30262381602705,0.8840025857015062
orig_lr01_wd1e4_do10_mse,2,6.298828529940942,15.27735281623322,70.18946075341137,0.8936461833380748
orig_lr01_wd1e4_do10_mse,3,6.059604298054872,15.45384139626208,77.90723795940407,0.8689717673062691
orig_lr01_wd1e4_do10_mse,4,4.552944014071877,12.15346378794068,56.46456393208082,0.9311726220327492
orig_lr01_wd1e4_do10_mse,5,5.681779095921255,14.600090466428368,66.08515070514869,0.9057205505974979
orig_lr01_wd1e4_do10_mse,6,5.225278804038019,13.699007274525577,64.71240917720331,0.9095966747776698
orig_lr003_wd1e3_do15_mse,0,6.438323254822518,14.514539320871824,63.59915764256412,0.9126803482078132
orig_lr003_wd1e3_do15_mse,1,5.392852316207537,15.306615990912075,78.0943062712592,0.8683417704351071
orig_lr003_wd1e3_do15_mse,2,7.642537179314387,17.08169908557351,76.48108269902609,0.8737250158027794
orig_lr003_wd1e3_do15_mse,3,6.823366580753147,16.08554182460017,77.06774920379698,0.8717803405914397
orig_lr003_wd1e3_do15_mse,4,5.896436095852353,14.883832654631208,69.72872210124905,0.8950378591269129
orig_lr003_wd1e3_do15_mse,5,6.626473029897535,16.047594844689645,72.19173550625962,0.88749178535867
orig_lr003_wd1e3_do15_mse,6,6.479910396209059,14.983310871625639,66.3071347793609,0.9050861059094663
orig_lr003_wd3e3_do20_mse,0,6.314373845300306,15.686872146505317,70.43423692280699,0.8929031010399132
orig_lr003_wd3e3_do20_mse,1,6.594277244722749,15.402901348183246,69.26461499091195,0.8964304433549414
orig_lr003_wd3e3_do20_mse,2,7.42229569117413,17.25674237115443,78.52908713994672,0.8668717061615909
orig_lr003_wd3e3_do20_mse,3,7.2912087877064975,16.38700026977823,70.21043158145388,0.8935826222062594
orig_lr003_wd3e3_do20_mse,4,7.72347252013505,17.11089096004636,78.97087549509617,0.8653695883787493
orig_lr003_wd3e3_do20_mse,5,7.251954109456263,16.017804205066977,76.59902579500937,0.8733352528532197
orig_lr003_wd3e3_do20_mse,6,6.287834823847435,14.711450554416727,64.02074311905993,0.9115188639932124
