Model,MAPE,RMSE,R2
AR3,5.178230109365749,19.22067506817819,0.9920247089369216
AllVar Elastic Net,9.790042317015752,52.92112917420656,0.9395400933433662
AllVar Ridge,11.561396710560071,70.16828904884332,0.8937103340514634
RW3,12.044187922437397,54.94304586074972,0.9348319491982412
NN_AllVar,14.76015699676746,69.2140057854621,0.8965817372892325
AllVar NN,14.76015699676746,69.2140057854621,0.8965817372892325
NN_AGT,15.619628130704113,79.3011454425144,0.8642411379829806
AllVar OLS,21.530451497439117,167.34440096086024,0.3954508142577724
