Config,Variant,hidden,dropout,weight_decay,loss,wide,seeds,val_MAPE,val_RMSE,test_MAPE,test_RMSE,test_R2,mean_stop_epoch
Macros,small_ln_mse,64-16,0.2,0.001,mse,False,5,7.870172425655348,24.0235861596885,18.157500096422513,79.66845653412454,0.8629805957586785,116.8
Macros,medium_ln_mse,128-32,0.15,0.001,mse,False,5,8.106793638341886,22.993942348069506,18.999205215671555,82.44461318401862,0.8532649590754202,117.0
Macros,small_ln_huber,64-16,0.2,0.001,huber,False,5,8.841617898681928,26.143051873032558,19.28462617281595,83.88569856501735,0.8480904353549718,95.4
Macros,wide_deep_small,64-16,0.15,0.001,mse,True,5,6.210418560906817,16.894843627049138,14.426340968252473,64.80362217313468,0.9093416458076752,159.4
Macros,wide_deep_huber,64-16,0.15,0.001,huber,True,5,6.6340971303250855,17.74826823237905,15.015233182687048,63.83323820521278,0.9120363947655139,181.6
Macros,wide_deep_tiny,32,0.1,0.003,mse,True,5,7.177067221613169,21.444286620334626,15.122199183001731,62.49487517331314,0.9156863136302743,105.6
AGT,small_ln_mse,64-16,0.2,0.001,mse,False,5,6.243380485825976,24.781520032780577,17.36427682290618,82.65409840122601,0.8525183275325087,123.4
AGT,medium_ln_mse,128-32,0.15,0.001,mse,False,5,5.842815317468072,23.38722531666698,16.570580370134145,81.10854135696061,0.8579823079884323,106.4
AGT,small_ln_huber,64-16,0.2,0.001,huber,False,5,6.752521833255407,26.302909807948467,18.174922854081643,84.99645639843031,0.8440408326789561,108.0
AGT,wide_deep_small,64-16,0.15,0.001,mse,True,5,5.762472907172456,24.71012139118663,14.530741508876705,67.90937849915576,0.9004436926448087,84.0
AGT,wide_deep_huber,64-16,0.15,0.001,huber,True,5,5.8183658292473925,24.47521184603229,14.170651229419082,65.34328441878343,0.907825415566725,86.0
AGT,wide_deep_tiny,32,0.1,0.003,mse,True,5,6.073382802802679,24.131364153718664,16.396072077747085,79.15657048656794,0.8647356942712559,76.8
AGTwRD,small_ln_mse,64-16,0.2,0.001,mse,False,5,5.418785832983865,21.32181370847006,13.246179467453501,61.660296322683536,0.9179231872983566,125.6
AGTwRD,medium_ln_mse,128-32,0.15,0.001,mse,False,5,5.001156748224387,18.238228988636607,12.407257632628625,58.24675764313969,0.9267592508174086,112.4
AGTwRD,small_ln_huber,64-16,0.2,0.001,huber,False,5,5.5825959605582405,22.09286833739071,13.60003810613354,62.398720082801134,0.9159455653922657,131.8
AGTwRD,wide_deep_small,64-16,0.15,0.001,mse,True,5,5.394789713616207,19.79410567040115,13.185969444746737,58.91538890277788,0.9250680963987025,83.4
AGTwRD,wide_deep_huber,64-16,0.15,0.001,huber,True,5,5.510700944049521,19.767781040246525,12.854885168055274,56.31372250109261,0.931539866619937,81.8
AGTwRD,wide_deep_tiny,32,0.1,0.003,mse,True,5,6.149699729714048,23.25314762755678,15.65019859366796,70.85708030151943,0.8916133547821102,101.0
AllVar,small_ln_mse,64-16,0.2,0.001,mse,False,5,5.842377164571666,20.646160212512545,14.499346160825413,62.22683425387438,0.9164080065119578,118.0
AllVar,medium_ln_mse,128-32,0.15,0.001,mse,False,5,5.174719997929151,18.85950601781369,13.63137086466502,59.349120039315075,0.9239607479509939,132.0
AllVar,small_ln_huber,64-16,0.2,0.001,huber,False,5,6.3076826414384435,22.218058725275373,15.500017542173497,66.38674110925074,0.9048580676330674,132.6
AllVar,wide_deep_small,64-16,0.15,0.001,mse,True,5,4.579081566591745,24.393702133004556,12.662878902208668,59.10721479997944,0.9245793521074995,95.2
AllVar,wide_deep_huber,64-16,0.15,0.001,huber,True,5,4.284588362652632,25.523784568493426,12.504330213785462,58.24967055179076,0.926751925123922,75.8
AllVar,wide_deep_tiny,32,0.1,0.003,mse,True,5,5.863620622818512,28.83816673694469,13.619937257962425,64.67984180000738,0.9096876452229394,141.2
