Country,Lag,MAE,RMSE,MAPE
CA,1,846.9259996194673,2183.064351969167,4.150734611556647
CA,2,974.7816079283024,2416.165827797964,4.6425294497765135
CA,3,989.0327442129286,2450.0620735795305,4.699420178981315
DE,1,2818.4129190171802,5567.11447420622,3.3778327878204886
DE,2,2917.4122865011536,5805.896609286171,3.547575387746215
DE,3,3035.163451792714,6218.2146724860895,3.7032168717818754
JP,1,6926.825867609675,11507.387122649096,5.244175533532671
JP,2,7148.509013667911,12105.769637594609,5.394868332935313
JP,3,7178.030035313784,12422.072816027228,5.416925133776764
KR,1,5928.458362933695,8160.70015905335,11.337933899274217
KR,2,5101.0541304710605,7101.486644028894,9.440449753844744
KR,3,4758.557601523028,6475.137838984466,8.607926449488673
CH,1,158.70850620899694,289.68305642767274,0.9973832493239188
CH,2,245.57380957852172,509.85433720223193,1.8562549115802085
CH,3,444.62406893071636,933.8448877647122,3.6335639333504024
GB,1,1648.848775496969,2309.687001226294,3.1086604840507426
GB,2,1244.6801123681964,1929.0203797390864,2.4280422364985506
GB,3,1169.5957263702044,1887.0691489644807,2.307957055310423
US,1,21779.449345524434,36825.76955520514,5.149904047549897
US,2,20191.060414807424,36584.51921051305,4.972210470871224
US,3,19835.092471212476,38072.18153807242,4.997698050973689
CN,1,45694.54034007691,52690.15728073582,39.89567501790411
CN,2,43262.13209704416,49887.54373587374,37.76514019001878
CN,3,41084.27067065622,47831.615487296556,36.279784018172926
