Config,Model,MAPE,RMSE,R2
LagRD,Original NN,25.57691784703917,181.32077252982822,0.2902516532800553
Macros,Original NN,15.87592869070715,72.08096062060332,0.8878367977762534
AGT,Original NN,15.619628130704118,79.3011454425144,0.8642411379829806
MGT,Original NN,16.790673384441394,86.07208706946008,0.8400685275304769
AGTwRD,Original NN,14.838061582853976,69.32601441328681,0.8962467440890916
MGTwRD,Original NN,15.277063350882598,71.84955850268076,0.8885557987680077
AllVar,Original NN,14.76015699676746,69.2140057854621,0.8965817372892325
LagRD,OLS,38.02563981084226,295.73733999722555,-0.8880852205322305
LagRD,Ridge,27.84475288412777,150.83487219968114,0.5088515391438851
LagRD,Elastic Net,20.384561911096927,59.464477327280214,0.923664864653034
Macros,OLS,9.09879201269388,43.36097672370232,0.9594110907442076
Macros,Ridge,9.02991404475926,39.79378979023306,0.9658146625689232
Macros,Elastic Net,9.521239137727369,45.47014735759756,0.9553663923570198
AGT,OLS,22.384918154894542,152.55555249521623,0.4975818659205497
AGT,Ridge,14.990587659615027,97.6911332521922,0.7939751705483007
AGT,Elastic Net,15.434487197814567,122.83803613444144,0.6742570709191735
MGT,OLS,22.222768968305324,160.07756422505375,0.4468152453062451
MGT,Ridge,12.35002117207114,74.03867976416296,0.8816613528865027
MGT,Elastic Net,11.573863664045884,73.7326131759432,0.8826377247680928
AGTwRD,OLS,21.623251987771948,173.42515794950418,0.3507178469197711
AGTwRD,Ridge,11.986099286724505,70.00792896836971,0.89419560006083
AGTwRD,Elastic Net,17.81142360341301,134.05078938061425,0.6120747760008693
MGTwRD,OLS,21.576318322720105,173.04827416174456,0.3535367923074863
MGTwRD,Ridge,13.960667122199846,94.16890512750206,0.808563691910447
MGTwRD,Elastic Net,10.506585139259483,62.47037470248626,0.9157524092928192
AllVar,OLS,21.530451497439113,167.34440096086024,0.3954508142577724
AllVar,Ridge,11.561396710560071,70.16828904884332,0.8937103340514634
AllVar,Elastic Net,9.790042317015752,52.921129174206555,0.9395400933433662
LagRD,NN,25.57691784703917,181.32077252982825,0.2902516532800553
Macros,NN,15.875928690707148,72.08096062060332,0.8878367977762534
AGT,NN,15.619628130704111,79.3011454425144,0.8642411379829806
MGT,NN,16.790673384441394,86.07208706946008,0.8400685275304769
AGTwRD,NN,14.838061582853976,69.3260144132868,0.8962467440890916
MGTwRD,NN,15.277063350882598,71.84955850268076,0.8885557987680077
AllVar,NN,14.76015699676746,69.2140057854621,0.8965817372892325
AGT,sg-LASSO-MIDAS,22.151172240365643,77.027767960485,0.871913341794144
