Config,ensemble_size,val_MAPE,test_MAPE,test_RMSE,test_R2
LagRD,5,8.460918230131089,15.099643426929477,45.75342887178715,0.9548085203150509
LagRD,10,8.349111436839333,14.918655359946541,44.93724891447203,0.9564064506501682
LagRD,15,8.338694569843959,15.017924014929909,46.04434516359554,0.9542320068414655
Macros,5,6.833095226807546,15.392758719697913,65.79878639263885,0.9065358555223769
Macros,10,6.085115440866072,14.681181541021473,63.4982283407796,0.9129572738397673
Macros,15,5.916837310584641,14.28522721357606,62.86768193620835,0.9146773839634579
AGT,5,5.5238891694201895,14.00853624771116,67.32240746766989,0.9021572739679597
AGT,10,5.616814954055585,14.4038590545356,74.79600775217567,0.8792280429190862
AGT,15,5.502613283919235,13.959166966600414,70.1624804416316,0.8937279308711726
MGT,5,4.397321750293976,13.996842744671834,74.01913642868733,0.8817238182533069
MGT,10,4.753109498053058,14.643508063581457,76.98351286748384,0.8720604798652869
MGT,15,5.159775489575369,15.26287556025934,78.15020213154513,0.8681532347016844
AGTwRD,5,5.423059610932219,13.164934076316678,58.372636216503786,0.9264423437970418
AGTwRD,10,5.521611420705344,13.15268580825725,59.49664319435337,0.923582259036448
AGTwRD,15,5.52286101709827,13.125633333938968,59.33743129987153,0.9239906966841761
MGTwRD,5,4.547409147151331,11.91857025633996,53.85011520924423,0.9373988168079748
MGTwRD,10,4.5730988151183105,12.3034851998497,55.1232565421402,0.9344037516524831
MGTwRD,15,4.84288274146735,12.366497543816394,54.41806994173418,0.9360713494591583
AllVar,5,4.349587294281768,12.467176142278923,57.850065058510154,0.9277534735402351
AllVar,10,4.434522578823984,12.226324123938403,55.537704194342695,0.9334136645840805
AllVar,15,4.416062540162451,12.193901027360052,53.946603838837454,0.9371742782397604
