Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[310.0627136230469, 457.22088623046875, 355.23675537109375]","[198.29446411132812, 425.1205749511719, 299.1170349121094]","[0.699754536151886, 1.515018343925476, 1.0635367631912231]"
1,"['Model_1', 'Model_2', 'Ensemble']","[116.59891510009766, 527.3375854492188, 310.206787109375]","[95.4561767578125, 513.2691650390625, 304.3631591796875]","[0.7287043333053589, 3.4784932136535645, 2.103602170944214]"
2,"['Model_1', 'Model_2', 'Ensemble']","[7401.15087890625, 4840.310546875, 5969.28515625]","[6459.63037109375, 4361.2216796875, 5402.03173828125]","[2.7185122966766357, 1.971824049949646, 2.3405776023864746]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1513.863037109375, 1580.350830078125, 1488.2037353515625]","[1113.250732421875, 902.878173828125, 984.9229125976562]","[1.0318602323532104, 0.8532868027687073, 0.922278881072998]"
4,"['Model_1', 'Model_2', 'Ensemble']","[3082.744140625, 2598.261474609375, 2813.460205078125]","[1039.457275390625, 819.4586791992188, 914.0684814453125]","[1.7832515239715576, 1.423350214958191, 1.565128207206726]"
5,"['Model_1', 'Model_2', 'Ensemble']","[2146.124267578125, 1890.40185546875, 1968.6387939453125]","[1685.4207763671875, 1254.05224609375, 1406.4356689453125]","[1.02202570438385, 0.7594808340072632, 0.8532828688621521]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1759.6390380859375, 1621.282470703125, 1662.0927734375]","[1167.1009521484375, 1119.62890625, 1105.9359130859375]","[1.9372543096542358, 1.7559174299240112, 1.7786228656768799]"
7,"['Model_1', 'Model_2', 'Ensemble']","[8260.201171875, 7156.10107421875, 7660.1181640625]","[5280.71826171875, 4110.55712890625, 4578.2119140625]","[1.0033217668533325, 0.7691972255706787, 0.8607032895088196]"
