Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,4103.3916015625,5031.85546875,4414.3466796875,2151.40576171875,2324.431396484375,2277.999267578125,1.4156641960144043,1.4915060997009277,1.3695313930511475
Model_2,3460.101806640625,4156.888671875,3608.388916015625,1690.9371337890625,1803.1671142578125,1779.7835693359375,1.395202398300171,1.4475018978118896,1.287014126777649
Ensemble,,4534.2841796875,3952.89794921875,,2030.755615234375,1986.8612060546875,,1.4218043088912964,1.2949204444885254
