scope,q90,q95,q99
NN,0.33333140448875714,0.35382682513628055,0.3896927377802899
Mosley,0.40496126970368246,0.4223864863058309,0.45523701928088506
Sax,0.5821970320519286,0.5997844240298765,0.628015208147768
Uniform,0.5200487332600542,0.5342016333684817,0.5594858226045265
Global (4 methods x 25 lags),0.5826341653828011,0.5998616410972107,0.628015208147768
