method,lag,n,correlation,hac_se,hac_t,hac_p,hac_p_holm_method,block_p_max_method,block_p_max_global,hac_p_holm_global
Mosley,-12,144,-0.22315027825645053,0.05696100257646715,-3.9175974467247645,8.943589588907626e-05,0.001967589709559678,1.0,1.0,0.006260512712235339
Mosley,-11,145,0.1341777190942786,0.05189610458652153,2.585506564766853,0.00972360211298317,0.1264068274687812,1.0,1.0,0.4375620950842426
Mosley,-10,146,0.06824210089272048,0.0666843860438363,1.0233595139926792,0.3061378942750046,1.0,1.0,1.0,1.0
Mosley,-9,147,-0.04391114674913352,0.09732385252020936,-0.45118586669198446,0.6518555950537077,1.0,1.0,1.0,1.0
Mosley,-8,148,0.20323820048895716,0.06354206117648374,3.19848296901287,0.0013815269302881017,0.026249011675473933,1.0,1.0,0.07874703502642179
Mosley,-7,149,0.26858226923275363,0.09214440574333424,2.9147973451680023,0.0035591957683742625,0.05759565160428449,0.992000799920008,1.0,0.18507817995546164
Mosley,-6,150,-0.01656495549024937,0.07338809791467035,-0.22571719339980256,0.8214213847606882,1.0,1.0,1.0,1.0
Mosley,-5,151,-0.3279685507443798,0.04951350165432329,-6.623820569873649,3.500316192275629e-11,8.750790480689072e-10,0.6806319368063194,1.0,3.255294058816335e-09
Mosley,-4,152,-0.24363846033586692,0.06744715559091043,-3.6122866591085887,0.00030350878229941315,0.0060701756459882635,0.9998000199980002,1.0,0.019121053284863028
Mosley,-3,153,0.14612697757837315,0.04987012823541161,2.9301504276985537,0.0033879795061343815,0.05759565160428449,1.0,1.0,0.1795629138251222
Mosley,-2,154,-0.015614117609223389,0.0744655704007301,-0.20968237435364148,0.8339155829560214,1.0,1.0,1.0,1.0
Mosley,-1,155,-0.0409552908014843,0.042325017205188414,-0.9676379008409169,0.33322524176948354,1.0,1.0,1.0,1.0
Mosley,0,156,-0.1834447397575457,0.05827600216800727,-3.1478607476999234,0.0016447002356897444,0.0296046042424154,1.0,1.0,0.09060119921203971
Mosley,1,155,0.11485889319089239,0.04812837865923929,2.386510752920255,0.017009109947925517,0.2041093193751062,1.0,1.0,0.7143826178128717
Mosley,2,154,0.10995166250145576,0.07307699218472805,1.5046002745092992,0.1324268756700082,1.0,1.0,1.0,1.0
Mosley,3,153,-0.06398624140953221,0.08718411952539144,-0.7339208305119925,0.4629969907298689,1.0,1.0,1.0,1.0
Mosley,4,152,0.2171135434616101,0.04673185028284767,4.645943658286925,3.3852539356486196e-06,7.786084051991825e-05,1.0,1.0,0.0002775908227231868
Mosley,5,151,0.26263747245274754,0.07092026288885626,3.7032783263133693,0.00021283115871680917,0.004469454333052993,0.9961003899610039,1.0,0.013834025316592596
Mosley,6,150,0.031173856873757826,0.07036366206890513,0.4430391477241502,0.657737418967997,1.0,1.0,1.0,1.0
Mosley,7,149,-0.31694289245232266,0.0489768244689898,-6.471283017807704,9.717422685781893e-11,2.3321814445876544e-09,0.7772222777722227,1.0,8.940028870919341e-09
Mosley,8,148,-0.22833651315517725,0.08110107415412926,-2.8154560902761037,0.00487080526274797,0.07306207894121955,1.0,1.0,0.23379865261190255
Mosley,9,147,0.12320166486433974,0.05539972195378108,2.2238679278413067,0.026157331478313926,0.28773064626145317,1.0,1.0,1.0
Mosley,10,146,0.011856905445567178,0.06715645247575867,0.17655645896196157,0.8598567974008745,1.0,1.0,1.0,1.0
Mosley,11,145,-0.03222629727030974,0.042317531540543143,-0.761535375460988,0.4463373577735996,1.0,1.0,1.0,1.0
Mosley,12,144,-0.14662441528801723,0.052747714742341016,-2.77973019313234,0.005440407938791639,0.07616571114308295,1.0,1.0,0.255699173123207
NN,-12,144,-0.2843135759778058,0.06661043569558901,-4.268303802682278,1.9696495772721856e-05,0.00047271589854532453,0.4296570342965703,1.0,0.0014575406871814172
NN,-11,145,-0.0842438127387916,0.06345221590589323,-1.3276732977101167,0.18428605850579272,1.0,1.0,1.0,1.0
NN,-10,146,-0.07645486805576833,0.07099263058704502,-1.0769409081415284,0.281506665827538,1.0,1.0,1.0,1.0
NN,-9,147,0.18808427796804644,0.08221470682932265,2.2877205943032606,0.02215379759911695,0.3544607615858712,0.9986001399860014,1.0,0.908305701563795
NN,-8,148,0.16395782977234385,0.05682995962897277,2.885059761484602,0.003913393669895902,0.06652769238823034,1.0,1.0,0.199583077164691
NN,-7,149,0.12510211262426493,0.07021606273617118,1.781673704695203,0.07480245737114485,1.0,1.0,1.0,1.0
NN,-6,150,0.05857583567559967,0.06386804058382287,0.9171384489042287,0.359070095489044,1.0,1.0,1.0,1.0
NN,-5,151,-0.2595403339343319,0.06370572545687916,-4.074050363181382,4.6202483300600064e-05,0.0010626571159138014,0.6815318468153184,1.0,0.0032803763143426047
NN,-4,152,-0.08596048195921963,0.08367028969272886,-1.027371630657683,0.3042455047072592,1.0,1.0,1.0,1.0
NN,-3,153,-0.02818680723591741,0.07137296706188608,-0.3949227333014917,0.6928999120996936,1.0,1.0,1.0,1.0
NN,-2,154,0.16234065627509459,0.049057814730243315,3.309170152966766,0.0009357295081013469,0.016843131145824242,1.0,1.0,0.05614377048608081
NN,-1,155,0.03713059073722922,0.07887361737253583,0.4707605911093698,0.6378117099206855,1.0,1.0,1.0,1.0
NN,0,156,-0.26119689556259273,0.06890027876068666,-3.7909410565640154,0.00015007757088583446,0.003301706559488358,0.6644335566443356,1.0,0.010205274820236743
NN,1,155,-0.08464050960420821,0.06356537193605113,-1.3315506072922754,0.18300790474454298,1.0,1.0,1.0,1.0
NN,2,154,-0.017006420456318186,0.08425944816109097,-0.20183398808647013,0.840046509664758,1.0,1.0,1.0,1.0
NN,3,153,0.1311621977053311,0.09096730211189631,1.4418609177173591,0.14934161345530117,1.0,1.0,1.0,1.0
NN,4,152,0.18949967865293368,0.04055165211858995,4.6730445925793,2.967673010939485e-06,7.419182527348713e-05,0.9983001699830018,1.0,0.00024631685990797724
NN,5,151,0.12170914038667387,0.07117142834696995,1.7100842741742666,0.08725029033667164,1.0,1.0,1.0,1.0
NN,6,150,0.07712917817126388,0.061120041354129934,1.2619294172982782,0.20697418554182678,1.0,1.0,1.0,1.0
NN,7,149,-0.22758915160837023,0.06129224986575476,-3.7131799225325723,0.0002046712712922927,0.004298096697138146,0.9296070392960704,1.0,0.013508303905291317
NN,8,148,-0.11531354742415732,0.07075685149875134,-1.6297156385794287,0.1031616105999354,1.0,1.0,1.0,1.0
NN,9,147,-0.07153568033889698,0.08497528814797137,-0.8418409857502176,0.39987696689556707,1.0,1.0,1.0,1.0
NN,10,146,0.17932562424472703,0.05228183068119927,3.4299798210626378,0.0006036261379979048,0.012072522759958095,0.9996000399960004,1.0,0.0374248205558701
NN,11,145,-0.007103898592711244,0.07856100709028963,-0.09042524855297197,0.9279492934345454,1.0,1.0,1.0,1.0
NN,12,144,-0.20646256506899205,0.06160894680221279,-3.351178291227934,0.0008046847607965697,0.015289010455134824,0.9887011298870113,1.0,0.04908577040859075
Sax,-12,144,0.4765874518028787,0.07105548349105774,6.707257883381465,1.9831561678322563e-11,4.957890419580641e-10,0.5869413058694131,0.7643235676432357,1.864166797762321e-09
Sax,-11,145,0.2966445334765992,0.047355363047692355,6.264222558653887,3.746900163301122e-10,8.992560391922693e-09,0.9996000399960004,1.0,3.378848319395124e-08
Sax,-10,146,-0.1432111853788992,0.055172608754271095,-2.595693562665057,0.009440021489956797,0.13216030085939517,1.0,1.0,0.4342409885380127
Sax,-9,147,-0.24248616134992654,0.07946068095365413,-3.051649676792448,0.002275875484962772,0.03641400775940435,1.0,1.0,0.12289727618798968
Sax,-8,148,0.08171369804543896,0.08439932933542849,0.9681794711979763,0.33295474557701576,1.0,1.0,1.0,1.0
Sax,-7,149,0.19394760688193438,0.07938899732880607,2.443003607649304,0.014565591677543245,0.17478710013051893,1.0,1.0,0.6263204421343596
Sax,-6,150,0.0256971937390487,0.06299283850572629,0.4079383363033041,0.6833189467146532,1.0,1.0,1.0,1.0
Sax,-5,151,0.00026343362470547765,0.05373570270880883,0.004902394710142937,0.9960884706177615,1.0,1.0,1.0,1.0
Sax,-4,152,-0.14968285142835253,0.06799323873590943,-2.201437293048083,0.027705081345255508,0.30475589479781057,1.0,1.0,1.0
Sax,-3,153,-0.22409204770186306,0.08761809197642298,-2.557600178764036,0.010539719516929568,0.1370163537200844,1.0,1.0,0.463747658744901
Sax,-2,154,-0.3615872446649518,0.08266375908472975,-4.374193100683064,1.2188245722911022e-05,0.00024376491445822046,0.9746025397460254,0.9998000199980002,0.0009506831663870597
Sax,-1,155,0.08466337305366674,0.09665392884205662,0.8759434206964958,0.38106079296369555,1.0,1.0,1.0,1.0
Sax,0,156,0.46729650966678304,0.0874707446347259,5.342317727123432,9.176562656825303e-08,2.0188437845015664e-06,0.6365363463653635,0.8256174382561744,7.983609511438013e-06
Sax,1,155,0.30235133470508563,0.05584218305662135,5.414389591440505,6.149813562680163e-08,1.4144571194164373e-06,0.9993000699930007,1.0,5.411835935158543e-06
Sax,2,154,-0.1091671738078604,0.06944363747699127,-1.5720255702911685,0.11594462119564912,1.0,1.0,1.0,1.0
Sax,3,153,-0.2407775202058372,0.0763727160160895,-3.152664102650383,0.001617878557357852,0.027503935475083483,1.0,1.0,0.09060119921203971
Sax,4,152,0.04996369929467342,0.07470840837975974,0.668782810104809,0.5036340337243008,1.0,1.0,1.0,1.0
Sax,5,151,0.21245259586939155,0.048649481472048436,4.367006377888244,1.2596105074438968e-05,0.00024376491445822046,1.0,1.0,0.0009699000907318005
Sax,6,150,-0.016182646752575473,0.05810617194626993,-0.2785013400562568,0.7806275365004038,1.0,1.0,1.0,1.0
Sax,7,149,0.03783401359465901,0.04323760418375017,0.875025670568446,0.38155993824897627,1.0,1.0,1.0,1.0
Sax,8,148,-0.08678267595990677,0.053915328099960975,-1.6096104580687787,0.10748292368345687,1.0,1.0,1.0,1.0
Sax,9,147,-0.27278596830098495,0.09554213939781281,-2.8551377436208996,0.004301816712945092,0.06452725069417638,0.9998000199980002,1.0,0.2150908356472546
Sax,10,146,-0.34523444677981174,0.08308936032798421,-4.154977790381882,3.253191407359264e-05,0.0005855744533246675,0.989001099890011,1.0,0.00234229781329867
Sax,11,145,0.1169923783016774,0.08898864878856011,1.3146887821575428,0.18861451820265174,1.0,1.0,1.0,1.0
Sax,12,144,0.47083064188551726,0.09115362109199758,5.165243423630178,2.401262112217621e-07,5.042650435657004e-06,0.6183381661833817,0.8047195280471953,2.0650854165071543e-05
Uniform,-12,144,-0.29682950879471776,0.053860850023799436,-5.51104389669969,3.567117389119863e-08,6.420811300415754e-07,0.9957004299570043,1.0,3.174734476316678e-06
Uniform,-11,145,0.1096914765445692,0.029124727957680483,3.7662661331620217,0.0001657071568434479,0.001325657254747583,1.0,1.0,0.011102379508511008
Uniform,-10,146,0.07108152299236381,0.016284593513245637,4.3649553140240895,1.2714874808934049e-05,0.0001525784977072086,1.0,1.0,0.0009699000907318005
Uniform,-9,147,-0.04467584894320855,0.06974289134223609,-0.6405792487721673,0.5217960853668858,0.7683272322707824,1.0,1.0,1.0
