method,lag,n,correlation,hac_se,hac_t,hac_p,hac_p_holm_method,block_p_max_method,block_p_max_global,hac_p_holm_global,abs_r
Mosley,-5,151,-0.3279685507443798,0.04951350165432329,-6.623820569873649,3.500316192275629e-11,8.750790480689072e-10,0.6806319368063194,1.0,3.255294058816335e-09,0.3279685507443798
NN,-12,144,-0.2843135759778058,0.06661043569558901,-4.268303802682278,1.9696495772721856e-05,0.00047271589854532453,0.4296570342965703,1.0,0.0014575406871814172,0.2843135759778058
Sax,-12,144,0.4765874518028787,0.07105548349105774,6.707257883381465,1.9831561678322563e-11,4.957890419580641e-10,0.5869413058694131,0.7643235676432357,1.864166797762321e-09,0.4765874518028787
Uniform,-7,149,0.46203205293018373,0.03672086068836465,12.58227732871696,2.642991828253523e-36,6.607479570633807e-35,0.48525147485251474,0.8536146385361464,2.6429918282535227e-34,0.46203205293018373
