Variant,hidden,dropout,weight_decay,loss,wide,residual_target,seeds,val_MAPE,test_MAPE,test_RMSE,test_R2,mean_stop_epoch
resid_wide64_huber,64-16,0.15,0.003,huber,True,True,7,3.241903695250884,11.940487253414073,64.73904172893734,0.9095222480422709,105.28571428571429
resid_wide32_huber,32,0.1,0.003,huber,True,True,7,3.6173686497647197,12.652235560930025,65.6113752484903,0.9070675150849772,95.57142857142857
resid_mlp64_huber,64-16,0.2,0.003,huber,False,True,7,3.3383752717753077,13.463734622109888,66.7873784701945,0.9037062584178058,177.85714285714286
wide96_mse_wd3e3,96-24,0.2,0.003,mse,True,False,7,5.393402772069968,14.614337322677946,73.9523636344142,0.8819371163083376,90.85714285714286
wide64_mse_wd3e3,64-16,0.18,0.003,mse,True,False,7,5.985224580580565,14.631190542897727,69.2890355203172,0.8963573997303932,104.85714285714286
wide96_huber_wd3e3,96-24,0.2,0.003,huber,True,False,7,5.293975757695982,14.667630262590167,74.36591839186748,0.880612966946041,89.57142857142857
wide128_huber_wd3e3,128-32,0.22,0.003,huber,True,False,7,5.367949994610605,14.783571297413605,77.63878172181492,0.8698732173614234,87.28571428571429
wide64_huber_wd3e3,64-16,0.18,0.003,huber,True,False,7,6.017102364227676,15.038545086214922,72.79297706793551,0.8856099549840706,104.42857142857143
mlp96_huber_wd3e3,96-24,0.25,0.003,huber,False,False,7,6.235737247604211,17.27376049405887,81.68558399967694,0.8559543642366623,157.14285714285714
