Specification,n_GT_features,Validation_MAPE,Test_MAPE,Test_RMSE,Test_R2
AGT lag 1,57,6.696312162959572,18.326677549387288,98.78419664002338,0.7893389654245919
AGT lags 1-3,171,5.502613283919235,13.959166966600414,70.1624804416316,0.8937279308711726
