Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,4195.56396484375,5108.84521484375,4511.857421875,2314.29638671875,2484.818359375,2450.1328125,1.6355316638946533,1.6989473104476929,1.5662306547164917
Model_2,4081.02880859375,5022.85400390625,4386.99072265625,2098.19873046875,2272.158447265625,2208.336181640625,1.4956753253936768,1.5816149711608887,1.4261549711227417
Ensemble,,5062.541015625,4445.701171875,,2377.666015625,2328.42236328125,,1.6386237144470215,1.4957798719406128
