Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[401.952392578125, 404.25, 402.67535400390625]","[333.589599609375, 344.6733703613281, 339.009521484375]","[1.180418848991394, 1.2223548889160156, 1.200994849205017]"
1,"['Model_1', 'Model_2', 'Ensemble']","[341.8235778808594, 371.76324462890625, 356.66839599609375]","[339.57275390625, 370.9263916015625, 355.249755859375]","[2.2938289642333984, 2.52347993850708, 2.4086556434631348]"
2,"['Model_1', 'Model_2', 'Ensemble']","[7708.52734375, 7395.5400390625, 7550.5068359375]","[6740.22216796875, 6339.27783203125, 6539.75]","[2.8226258754730225, 2.659850835800171, 2.7412381172180176]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1652.2955322265625, 1453.6134033203125, 1545.9490966796875]","[1285.5770263671875, 993.5694580078125, 1138.7218017578125]","[1.1881537437438965, 0.9076383113861084, 1.0468627214431763]"
4,"['Model_1', 'Model_2', 'Ensemble']","[3111.641845703125, 3075.6630859375, 3092.120849609375]","[1182.5595703125, 1047.658203125, 1114.8179931640625]","[2.0622355937957764, 1.8176072835922241, 1.9394774436950684]"
5,"['Model_1', 'Model_2', 'Ensemble']","[2272.0693359375, 2027.5914306640625, 2140.510498046875]","[1842.29052734375, 1489.234375, 1665.76318359375]","[1.1167070865631104, 0.9025294184684753, 1.0096186399459839]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1781.075927734375, 1754.78662109375, 1767.5064697265625]","[1197.303955078125, 1148.9244384765625, 1173.1141357421875]","[1.939341425895691, 1.8848118782043457, 1.9120765924453735]"
7,"['Model_1', 'Model_2', 'Ensemble']","[8334.744140625, 8210.8251953125, 8266.6611328125]","[5558.4873046875, 5084.39404296875, 5317.7412109375]","[1.060408592224121, 0.9630239605903625, 1.0109484195709229]"
