Config,member,epoch,train_loss,val_loss
AGT,0,1,0.6645179986953735,3.3383336067199707
AGT,0,2,0.14986921846866608,1.3764928579330444
AGT,0,3,0.09220485389232635,0.8688932061195374
AGT,0,4,0.06068255007266998,0.6077588796615601
AGT,0,5,0.055389147251844406,0.6010473370552063
AGT,0,6,0.054962944239377975,0.6181051135063171
AGT,0,7,0.03904286026954651,0.5200843214988708
AGT,0,8,0.034558288753032684,0.62183678150177
AGT,0,9,0.03392389416694641,0.647333562374115
AGT,0,10,0.026859361678361893,0.5311021208763123
AGT,0,11,0.03918949142098427,0.5497270822525024
AGT,0,12,0.03190722316503525,0.5739092826843262
AGT,0,13,0.02342378720641136,0.5719653964042664
AGT,0,14,0.03898635506629944,0.7705845832824707
AGT,0,15,0.019814591854810715,0.5358952283859253
AGT,0,16,0.05431697145104408,1.1236560344696045
AGT,0,17,0.01595950312912464,0.4413771629333496
AGT,0,18,0.027635708451271057,0.6734374761581421
AGT,0,19,0.032367296516895294,0.8852474093437195
AGT,0,20,0.014519767835736275,0.6528987288475037
AGT,0,21,0.011698233895003796,0.47609037160873413
AGT,0,22,0.010221735574305058,0.5005868673324585
AGT,0,23,0.013171530328691006,0.6123799085617065
AGT,0,24,0.009817919693887234,0.51053386926651
AGT,0,25,0.008387016132473946,0.518714189529419
AGT,0,26,0.011016481555998325,0.5599227547645569
AGT,0,27,0.008465728722512722,0.536923885345459
AGT,0,28,0.012286343611776829,0.5814806818962097
AGT,0,29,0.008271677419543266,0.48192551732063293
AGT,0,30,0.010211571119725704,0.4953387677669525
AGT,0,31,0.009905070997774601,0.5731404423713684
AGT,0,32,0.007081722375005484,0.4860176742076874
AGT,0,33,0.008178231306374073,0.4595703184604645
AGT,0,34,0.009025178849697113,0.5929957628250122
AGT,0,35,0.009692355059087276,0.5872030258178711
AGT,0,36,0.00853061955422163,0.5575528144836426
AGT,0,37,0.0070699225179851055,0.5452004075050354
AGT,0,38,0.009263413026928902,0.5713330507278442
AGT,0,39,0.0063620214350521564,0.4799780249595642
AGT,0,40,0.006544743198901415,0.5232577323913574
AGT,0,41,0.00538669666275382,0.4761364161968231
AGT,0,42,0.005378520581871271,0.4839434027671814
AGT,0,43,0.007247054949402809,0.52535480260849
