origin,Model,note,n,MAPE,RMSE,R2,n_country_years
2017,NN-AGT,mean_stop_epoch=105.0,7.0,10.163968479552839,58.96669875918114,0.899056557129255,7.0
2017,Elastic Net,"alpha=0.0001, l1=0.05",7.0,5.314533471343348,26.329371022113254,0.9798745568114036,7.0
2017,RW(3),,7.0,10.194504135013984,44.46029142735152,0.9426135850710825,7.0
2018,NN-AGT,mean_stop_epoch=63.7,7.0,13.925358772722737,68.02190861095777,0.8826809281771604,7.0
2018,Elastic Net,"alpha=0.0001, l1=0.5",7.0,9.929239026296253,32.06198078224344,0.9739353624411065,7.0
2018,RW(3),,7.0,14.040700013981263,49.02501618634778,0.9390594341064568,7.0
2019,NN-AGT,mean_stop_epoch=60.7,6.0,8.498491789772586,27.25548027972287,0.9817709351658828,6.0
2019,Elastic Net,"alpha=0.0873, l1=0.05",6.0,2.51281014244162,4.163724176866191,0.9995745773432348,6.0
2019,RW(3),,6.0,13.564138917396143,44.15886195059634,0.9521488416173782,6.0
