n,MAPE,RMSE,R2,Config,ensemble_size,mean_stop_epoch,median_stop_epoch
23.0,15.608816320047552,80.13667607742588,0.861365309386795,AGT,5,90.8,85.0
23.0,14.612534719497457,69.74810647395142,0.8949794927032407,AllVar,5,87.0,82.0
