Iteration,Training_Loss
389,19888188.0
390,85571260.0
391,21190088.0
392,47624372.0
393,26794806.0
394,29285286.0
395,35514510.0
396,47011676.0
397,19619792.0
398,40120510.0
399,4986254.0
400,15839146.0
401,50058016.0
402,60643280.0
403,40012124.0
404,56163020.0
405,19247810.0
406,84031416.0
407,20268598.0
408,46418600.0
409,25795490.0
410,28570732.0
411,34497130.0
412,46514890.0
413,19022274.0
414,39156976.0
415,4509083.0
416,15514481.0
417,49782412.0
418,60662510.0
419,39443516.0
420,54756010.0
421,18317760.0
422,81374504.0
423,19583340.0
424,45691324.0
425,25333350.0
426,28632646.0
427,33825732.0
428,45989740.0
429,18488082.0
430,38707796.0
431,4493256.0
432,15612719.0
433,49891852.0
434,60102310.0
435,38990548.0
436,54400496.0
437,18015412.0
438,80870170.0
439,19349314.0
440,45190970.0
441,25207232.0
442,28671820.0
443,33589160.0
444,45860468.0
445,18201056.0
446,38455484.0
447,4495901.0
448,15056641.0
449,49283960.0
450,58200236.0
451,38199504.0
452,54192652.0
453,17671434.0
454,80319410.0
455,18610534.0
456,44095708.0
457,24388420.0
458,28090238.0
459,32934810.0
460,45555624.0
461,17856054.0
462,38120384.0
463,4399801.0
464,14461716.0
465,48661796.0
466,57133548.0
467,37704130.0
468,53454630.0
469,16965550.0
470,78611240.0
471,17800244.0
472,43112836.0
473,23688730.0
474,27782672.0
475,32257426.0
476,45132520.0
477,17428352.0
478,37648296.0
479,4286029.0
480,14166526.0
481,48353200.0
482,56328504.0
483,37199096.0
484,52939540.0
485,16521400.0
486,77655890.0
487,17343490.0
488,42405156.0
489,23281674.0
490,27603134.0
491,31799064.0
492,44858428.0
493,17092896.0
494,37330510.0
495,4198584.5
496,13955489.0
497,48176244.0
498,56051010.0
499,36999804.0
500,52316760.0
501,15965984.0
502,76198960.0
503,16822398.0
504,41739620.0
505,22946932.0
506,27614582.0
507,31394988.0
508,44540696.0
509,16755178.0
510,36950612.0
511,4571684.5
512,13538839.0
513,47517668.0
514,52836660.0
515,35372810.0
516,52813940.0
517,16330329.0
518,77854770.0
519,16563690.0
520,40699960.0
521,22008444.0
522,26401036.0
523,30580762.0
524,44353304.0
525,16479878.0
526,36567870.0
527,4558876.0
528,12751909.0
529,46456068.0
530,50816080.0
531,34131908.0
532,51437290.0
533,15239873.0
534,75224100.0
535,15327574.0
536,39336660.0
537,20842602.0
538,25770454.0
539,29570920.0
540,43719720.0
541,15958423.0
542,35975950.0
543,3952852.8
544,12598264.0
545,46438196.0
546,52211108.0
547,34668470.0
548,50346690.0
549,14307479.0
550,72625630.0
551,15020388.0
552,39230228.0
553,21210556.0
554,26597488.0
555,29650020.0
556,43494896.0
557,15688318.0
558,35677744.0
559,4494204.0
560,12901369.0
561,46723972.0
562,50526372.0
563,35278950.0
564,52463564.0
565,14798928.0
566,74686696.0
567,14799084.0
568,38497484.0
569,20936724.0
570,26696094.0
571,29861728.0
572,43615440.0
573,16022008.0
574,35588110.0
575,4852437.0
576,12263555.0
577,45965656.0
578,49707396.0
579,33834092.0
580,50880710.0
581,14640768.0
582,73576590.0
583,14672834.0
584,37930564.0
585,20410818.0
586,25970706.0
587,29113234.0
588,43286636.0
589,15577444.0
590,35098324.0
591,5034547.5
592,12447736.0
593,45944436.0
594,48354816.0
595,31710560.0
596,51129424.0
597,14894389.0
598,75438370.0
599,14374217.0
600,36803984.0
601,19227602.0
602,24674872.0
603,27888750.0
604,42764764.0
605,15139900.0
606,34908164.0
607,4274650.0
608,11381248.0
609,44648440.0
610,47937690.0
611,32309512.0
612,48401300.0
613,12537189.0
614,69093350.0
615,13108502.0
616,36338624.0
617,19346690.0
618,25646316.0
619,27829824.0
620,42261336.0
621,14600399.0
622,34178896.0
623,4685900.0
624,33982084.0
625,46721524.0
626,45717880.0
627,25773854.0
628,46017600.0
629,12900346.0
630,70269630.0
631,13240252.0
632,34838716.0
633,17425878.0
634,22791138.0
635,24494014.0
636,41373856.0
637,11496998.0
638,29081552.0
639,1961594.8
640,10951211.0
641,42801740.0
642,45128132.0
643,26740490.0
644,40694410.0
645,9508642.0
646,58617890.0
647,10968897.0
648,34578256.0
649,17870042.0
650,23474454.0
651,21320608.0
652,40154344.0
653,9653233.0
654,30212064.0
655,3094277.8
656,11754798.0
657,42048496.0
658,39851292.0
659,22004894.0
660,40977296.0
661,10915449.0
662,58865424.0
663,10909332.0
664,32652630.0
665,15506262.0
666,21697274.0
667,21612334.0
668,40740670.0
669,9495900.0
670,28622488.0
671,2000024.9
672,10391288.0
673,41389456.0
674,38800104.0
675,21783012.0
676,39529468.0
677,9555670.0
678,57916040.0
679,10284018.0
680,30760416.0
681,14470155.0
682,21379446.0
683,20656446.0
684,39721692.0
685,8829752.0
686,27107392.0
687,1773767.8
688,10110688.0
689,40655444.0
690,38274084.0
691,21483706.0
692,37880284.0
693,8615742.0
694,55860010.0
695,9839806.0
696,30044172.0
697,14265777.0
698,21336624.0
699,20165014.0
700,39353740.0
701,8450082.0
702,26928054.0
703,1789560.8
704,10057375.0
705,40464508.0
706,37733196.0
707,20949914.0
708,37626996.0
709,8614301.0
710,55368590.0
711,9701687.0
712,29740764.0
713,14075602.0
714,21264938.0
715,20050128.0
716,39332944.0
717,8401698.0
718,26739904.0
719,1726634.9
720,9969644.0
721,40461116.0
722,37612716.0
723,20861304.0
724,37434612.0
725,8473085.0
726,55104430.0
727,9600656.0
728,29584764.0
729,14025280.0
730,21244266.0
731,19869780.0
732,39226824.0
733,8281422.5
734,26573154.0
735,1702562.9
736,9912715.0
737,40361624.0
738,64607120.0
739,18726336.0
740,41257644.0
741,13648639.0
742,52184040.0
743,10454066.0
744,32566110.0
745,15055721.0
746,21194844.0
747,21118244.0
748,41723884.0
749,10067144.0
750,30108154.0
751,2276001.2
752,10293554.0
753,41792300.0
754,37259620.0
755,20579250.0
756,39608030.0
757,9255860.0
758,58344460.0
759,10326552.0
760,30123022.0
761,14394158.0
