Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,4021.71142578125,4951.96337890625,4374.0302734375,2145.126708984375,2332.887451171875,2294.852783203125,1.4745062589645386,1.5868419408798218,1.454020619392395
Model_2,3452.4423828125,4409.15478515625,3748.622314453125,1453.776611328125,1599.717529296875,1507.227294921875,1.055688738822937,1.1000436544418335,0.9937176704406738
Ensemble,,4619.73779296875,3997.4091796875,,1944.6396484375,1882.6053466796875,,1.307289958000183,1.2078487873077393
