Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[357.0316162109375, 249.03880310058594, 290.65106201171875]","[294.8316345214844, 142.9089813232422, 214.93873596191406]","[1.0500929355621338, 0.5070651173591614, 0.7648782134056091]"
1,"['Model_1', 'Model_2', 'Ensemble']","[196.6843719482422, 123.94548034667969, 152.27626037597656]","[165.40966796875, 105.2532958984375, 130.080810546875]","[1.2521809339523315, 0.7459527850151062, 0.9685302972793579]"
2,"['Model_1', 'Model_2', 'Ensemble']","[7335.7890625, 4653.501953125, 5876.3271484375]","[6427.89111328125, 4251.19873046875, 5310.21484375]","[2.757732391357422, 2.0316085815429688, 2.3786325454711914]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1500.1923828125, 1382.4862060546875, 1420.2037353515625]","[1122.8555908203125, 883.6377563476562, 1001.1964721679688]","[1.0510438680648804, 0.8321656584739685, 0.9400155544281006]"
4,"['Model_1', 'Model_2', 'Ensemble']","[3001.73681640625, 2607.75048828125, 2785.62939453125]","[1026.073486328125, 737.3101806640625, 869.3907470703125]","[1.769598364830017, 1.2602884769439697, 1.4813501834869385]"
5,"['Model_1', 'Model_2', 'Ensemble']","[2114.898193359375, 1643.64697265625, 1837.1939697265625]","[1651.422607421875, 858.3643188476562, 1244.1527099609375]","[1.0021227598190308, 0.5224941372871399, 0.7558917999267578]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1773.69677734375, 1630.1558837890625, 1686.452880859375]","[1266.8165283203125, 993.5592041015625, 1117.896728515625]","[2.12359356880188, 1.6259839534759521, 1.8440293073654175]"
7,"['Model_1', 'Model_2', 'Ensemble']","[8194.2353515625, 7745.93212890625, 7888.46142578125]","[5264.80615234375, 3332.816162109375, 4240.14892578125]","[0.9986958503723145, 0.599749743938446, 0.7864054441452026]"
