method,lag,correlation,p_value_unadjusted,n
Raw_scale,-12,-0.15068014274139185,0.06128034721882028,155
Raw_scale,-11,0.26045710505348385,0.0010241349531764797,156
Raw_scale,-10,0.261181582217806,0.0009532093307255156,157
Raw_scale,-9,0.0015074728376437974,0.9850020968153428,158
Raw_scale,-8,-0.413818310408029,5.89616498902478e-08,159
Raw_scale,-7,-0.1937453339452114,0.014096413761013804,160
Raw_scale,-6,-0.1907589173043645,0.01535480777000546,161
Raw_scale,-5,0.12303845822002941,0.11880007029170976,162
Raw_scale,-4,-0.16449708957791692,0.035877648501068476,163
Raw_scale,-3,0.2661924484185153,0.0005705805514258358,164
Raw_scale,-2,0.00978296998194304,0.9007514240892341,165
Raw_scale,-1,0.029869154653910053,0.7024506557611007,166
Raw_scale,0,-0.0963383323396412,0.21553158986727483,167
Raw_scale,1,0.268889763783115,0.00046011171629678857,166
Raw_scale,2,0.20461069847744415,0.008382993551513878,165
Raw_scale,3,-0.008708254815317921,0.9118786909412562,164
Raw_scale,4,-0.4341775284369654,7.025407093675804e-09,163
Raw_scale,5,-0.15975641255758694,0.04228716253211517,162
Raw_scale,6,-0.13247658461004624,0.09388838734518115,161
Raw_scale,7,0.1398418263386707,0.07778549503605149,160
Raw_scale,8,-0.18946094434637037,0.016762930809411138,159
Raw_scale,9,0.2871983447651529,0.0002534489506933129,158
Raw_scale,10,-0.02651986073853595,0.7416300414580989,157
Raw_scale,11,0.05210886680909646,0.5182506858408221,156
Raw_scale,12,-0.07723205862177938,0.33948882558398336,155
Standardized_input,-12,-0.04348881169292602,0.5910583492706022,155
Standardized_input,-11,-0.18412406688982227,0.02139605775944304,156
Standardized_input,-10,-0.04252662570560192,0.5969176143104319,157
Standardized_input,-9,0.03282565709936771,0.6822122349447474,158
Standardized_input,-8,0.12471480509552721,0.11727668971416894,159
Standardized_input,-7,-0.04676169200390232,0.557084556174594,160
Standardized_input,-6,-0.06840303549234482,0.3885858322411246,161
Standardized_input,-5,-0.042406102286751526,0.5920946060192528,162
Standardized_input,-4,0.09835298561944242,0.21164534731992632,163
Standardized_input,-3,-0.035370257099966315,0.6529726139261702,164
Standardized_input,-2,-0.055584930354042626,0.47824889296996637,165
Standardized_input,-1,1.4194454819933458e-05,0.9998551832923329,166
Standardized_input,0,-0.041689085054183235,0.5926997152874396,167
Standardized_input,1,-0.17606224058054928,0.023267304235669927,166
Standardized_input,2,-0.09877906037476908,0.20684683375871454,165
Standardized_input,3,0.02691833846111386,0.7322393475422883,164
Standardized_input,4,0.1398173648267303,0.0750620205708857,163
Standardized_input,5,-0.060012787988459215,0.44808748307676954,162
Standardized_input,6,-0.0551064739763419,0.487492616158937,161
Standardized_input,7,-0.05802895803245539,0.4660787389505457,160
Standardized_input,8,-0.018519568455680605,0.8167708776399691,159
Standardized_input,9,-0.05475920536571432,0.49437933919587235,158
Standardized_input,10,-0.04236477900684605,0.5983159082952635,157
Standardized_input,11,0.012165354234472622,0.8801896706991054,156
Standardized_input,12,-0.06328537674304069,0.4340362382782973,155
