series,reference,level_r,level_p,growth_r,growth_p
Raw_scale,Chow_current,0.775909162575355,1.0678111411358057e-44,0.031139151218823286,0.6498014774076573
Standardized_input,Chow_current,0.5993793868182737,1.8632903268981026e-22,-0.010335589013487963,0.8802360080807333
Sparse,Chow_current,0.28750519632576643,1.7715642454846327e-05,0.03450617714334788,0.6148516236501052
Chow_Lin_old,Chow_current,0.38454004678651454,5.06346382381419e-09,0.05362750883056932,0.43403076558540515
