Year,Month,Raw_scale,Chow_Lin_old,Sparse,Standardized_input
2004,1,30.61937126396944,28.688237282898,32.9606514484556,46.173421393306675
2004,2,28.29127549881024,28.0386032639846,28.4558868950222,51.01878203136878
2004,3,8.054860181470799,30.0931395578973,30.2525550930859,-12.136554552330862
2004,4,25.991700956832858,30.6333424335577,33.7808424765506,35.04950321533668
2004,5,29.66155464759516,33.0627543992953,31.6507212929523,8.604073984532445
2004,6,27.894021564432734,33.2544075087679,31.6587891196557,9.930722406619466
2004,7,32.705580646767,36.4270251773139,32.9217596441761,36.63461710234534
2004,8,34.79524905195017,32.2225893089656,30.4018512590676,32.200813967657815
2004,9,45.17473595963284,27.5393104116167,32.6307118488807,53.52606808040843
2004,10,27.091175804964404,28.2327981289782,31.766303426661,9.934648698651534
2004,11,47.91857400291063,32.8381373540475,30.3444773786476,56.05000038761426
2004,12,36.69892814463871,33.8666828966522,28.0724778408197,47.91093100846444
2005,1,29.979193721534873,31.4615155398743,32.6671964988913,41.989010626473124
2005,2,22.198769448186116,30.4934522754843,32.544889218487,33.03962517274102
2005,3,17.48011027528995,33.6500493216966,35.7795726606667,5.940413084874905
2005,4,20.2833936009437,32.4918181436384,33.8750117317527,18.279869035467403
2005,5,41.35514051658047,35.1788021128944,29.6011765246062,46.3448571698471
2005,6,33.31961096548079,34.764156329613,33.2454243669526,13.187444510279956
2005,7,39.24007250089209,35.9844842594659,30.0612715531735,37.85950591694134
2005,8,31.78393616097202,32.2556477236717,34.9235512406195,42.35477732002888
2005,9,50.218582466715596,29.6351244067091,34.2360364309853,72.82525975196782
2005,10,43.09135411719077,29.2210080367915,30.9919574982107,46.33469234966479
2005,11,37.288096720813705,32.055035311153,31.8481434937687,21.94159408270487
2005,12,24.06822980980101,33.1153968434087,30.532259086287,10.209441283409834
2006,1,19.761886113772967,35.30346727897,35.013139522378,8.439061650561536
2006,2,20.351350754014316,35.0798265185375,34.8342699673328,26.14671422643909
2006,3,15.421379579749479,36.9804848612701,38.5993575231929,-9.795401288696555
2006,4,5.52725931651922,30.0198173238652,36.8786690520013,-18.60478976611587
2006,5,40.11743941680484,35.947193810547,33.8555136040802,29.325122043972303
2006,6,38.3342178311093,34.625655438862,33.6094958619321,33.208481652958554
2006,7,44.49393522637602,36.633343669143,31.8792424183594,69.35954507926019
2006,8,42.17610259826628,35.4435467782351,31.6968876335872,57.4541526455519
2006,9,46.44506465429324,31.4652671580101,31.9955079222751,51.0454850653764
2006,10,56.73061642636416,29.807644289955,34.4949787731576,70.30645457546157
2006,11,46.978040293147274,32.8944423663793,32.995797175069,53.798954546256724
2006,12,31.809840064044977,33.9464427806876,32.2942728210963,37.463351843436264
2007,1,34.363795794276456,36.5246980658169,33.9689213714052,49.89616789449936
2007,2,15.878494829503111,33.855521778791,37.4531488693721,26.65155745754919
2007,3,16.514875130817927,37.6945684492484,36.9922024193878,3.0353211223577974
2007,4,9.679167032496942,33.5808743781561,36.6768488716377,-7.770343976201541
2007,5,39.27166925547524,38.7053590596694,35.7294986670825,33.25302427080456
2007,6,42.466537409524,36.9602582926724,35.5832246210842,38.245140275204996
2007,7,39.6790139772544,38.8007442801057,36.765081838147,33.2249187528106
2007,8,43.02825680597311,36.7338717853361,37.4714265283471,49.5458348394962
2007,9,48.114176226921906,32.8273402925849,33.7704645176445,43.770852387958115
2007,10,60.52421723980753,32.3450929487437,36.3843020107406,81.88667848458496
2007,11,44.28397861981458,33.890640006747,35.8187776702519,35.05892625962527
2007,12,33.95052124347681,35.8357342274704,31.1408061802414,40.95662579665252
2008,1,30.574029313346546,37.3624807260872,39.3632546599204,44.969252307545645
2008,2,17.28701535025728,36.745148993141,33.4860654458338,25.100074468974768
2008,3,20.798635179772543,39.1165915125153,40.2129505181045,18.021626713908198
2008,4,15.901417205349617,35.6159967768006,37.8504984863919,7.215169232653839
2008,5,27.63182769323609,37.6091787237613,36.8427044521292,14.746159122198284
2008,6,46.19390870920729,40.832556558926,39.5811440722983,49.43810142185633
2008,7,45.654341719485394,39.7222103455026,37.5198452777637,45.97500798784464
2008,8,46.1034562534919,38.2395986574368,35.5720366523734,42.70938686039945
2008,9,50.9342346274083,33.9390601023044,37.1794671005526,57.11706788852635
2008,10,53.804028491700706,35.7880045091079,42.1945448477368,63.622528876535036
2008,11,50.00401433244461,36.9296951091067,34.0869254179271,35.71821569198458
2008,12,44.623539906636765,37.6099267676472,35.6210118513054,44.87785820990992
2009,1,35.99539433588233,34.5038790513281,35.2489393544582,37.90562238695547
2009,2,13.148579457284194,35.6169067082288,36.8706860077405,33.96048521315829
2009,3,14.880275958017009,37.0941334089327,39.0561565142298,-6.669937692602801
2009,4,17.869023145894385,38.217646229763,38.5499542854467,2.7639960365132685
2009,5,36.72960145634518,37.7733250845989,36.5088271719195,22.85933347702432
2009,6,37.572430109010455,40.2172634452594,38.6856689638381,29.137906486845075
2009,7,39.76367749496969,41.3097383344391,37.2093057707204,43.76162367315288
2009,8,40.321383057186125,40.6980537909665,38.2141263957071,30.713795124797727
2009,9,52.588349510965564,33.5997409307427,35.8982124925994,54.14049300824027
2009,10,56.947625936574894,31.6618434869577,39.0599893575749,65.7073878288097
2009,11,51.78831690781466,37.6063434647557,35.9400016408502,66.75677985734319
2009,12,47.7165434583975,37.0223268923694,34.0793328732573,64.28371542810459
2010,1,25.640595695144718,37.3040469306713,37.3324562217654,41.135013803531756
2010,2,18.158526925163194,35.5167671637215,37.7185865053814,25.49139603260703
2010,3,24.132406008625942,37.7073723116369,43.8650382103662,21.207862033836342
2010,4,18.819781166031355,35.478404420193,42.4547292761795,11.745989676980317
2010,5,50.38725566363505,38.4418559157215,37.9212417405837,60.84288431319345
