feature,mean_abs_shap
Business_loan_yearly_avg_lag3,0.008770572599917406
Innovation_management_yearly_avg_lag1,0.008725079132509776
Disease_yearly_avg_lag1,0.008717539045139604
Job_yearly_avg_lag2,0.008700771377267979
Patent_yearly_avg_lag2,0.008604065601372765
Capitalization_yearly_avg_lag3,0.008517638053070741
Disease_yearly_avg_lag2,0.008509428962372457
Sustainability_yearly_avg_lag3,0.008466888422605089
Loan_yearly_avg_lag1,0.008414236271106938
Patent_infringement_yearly_avg_lag2,0.00829336422226387
Collaboration_yearly_avg_lag2,0.007816546781276046
Small_Business_Innovation_Research_yearly_avg_lag2,0.007774332159769097
Investment_yearly_avg_lag2,0.007751192972909329
Patent_office_yearly_avg_lag3,0.0076987014817646625
Investment_yearly_avg_lag3,0.007691393361620447
Innovation_yearly_avg_lag2,0.007651086163744143
Data_yearly_avg_lag3,0.00758313731492645
Investment_fund_yearly_avg_lag2,0.007382049080430063
Manufacturing_yearly_avg_lag3,0.0072372821186401605
Technology_yearly_avg_lag1,0.0072261233267865805
Budget_yearly_avg_lag3,0.0069896661883255785
Research_and_Development_Tax_Credit_yearly_avg_lag3,0.006793252869212672
Tax_report_yearly_avg_lag3,0.006789751896246884
Innovation_management_yearly_avg_lag3,0.006718034976515422
Career_yearly_avg_lag2,0.006587388157957558
Law_yearly_avg_lag2,0.00603673492420877
Law_yearly_avg_lag3,0.0059719712014398366
Entrepreneurship_yearly_avg_lag3,0.005847352076150289
Patent_yearly_avg_lag1,0.005815151327486038
Innovation_yearly_avg_lag3,0.005789115423332505
Research_&_Experimentation_Tax_Credit_yearly_avg_lag2,0.005681132795072856
Credit_yearly_avg_lag2,0.005372409689713106
Innovation_yearly_avg_lag1,0.005200712173746942
Subsidy_yearly_avg_lag3,0.004901994257565745
Trademark_attorney_yearly_avg_lag3,0.004901366209997808
Invention_yearly_avg_lag2,0.004758071918781873
Collaboration_yearly_avg_lag3,0.0046658830967101885
Invention_yearly_avg_lag3,0.004533183125495842
Trademark_attorney_yearly_avg_lag1,0.004469532927614342
Semiconductor_yearly_avg_lag3,0.004256161219762709
Scholarship_yearly_avg_lag2,0.004231605148366633
Business_yearly_avg_lag3,0.004216222116320148
Innovation_management_yearly_avg_lag2,0.003879376179333988
Research_&_Experimentation_Tax_Credit_yearly_avg_lag1,0.003857975922688015
Business_model_yearly_avg_lag3,0.003692233134962091
Investment_fund_yearly_avg_lag3,0.00300905336840207
M_5,0.002776363003932425
M_2,0.0025483172004614084
M_3,0.0013982988297767118
M_1,0.0007471575158186528
M_4,0.0
M_6,0.0
M_7,0.0
M_8,0.0
M_9,0.0
M_10,0.0
M_11,0.0
M_12,0.0
