seed,epoch,val_MAPE
0,1,16.5577928543892
0,2,13.560185394040062
0,3,11.715796752187778
0,4,8.82494094860274
0,5,7.655784996003525
0,6,7.197095776492068
0,7,8.028029922382272
0,8,7.275523547584013
0,9,7.246292240887218
0,10,7.213581908146469
0,11,7.539176212663319
0,12,7.519624347059486
0,13,6.5466669910461395
0,14,6.308855169366195
0,15,7.420865296920727
0,16,7.585610088610409
0,17,8.08307343649461
0,18,7.616986793449415
0,19,7.232352603446938
0,20,7.288971776203013
0,21,7.5108443443847985
0,22,7.33061364131525
0,23,7.1650676379531015
0,24,7.767035247108156
0,25,7.871461227703476
0,26,7.751384357016408
0,27,7.5999811546213465
0,28,6.857359809629222
0,29,8.078239181163427
0,30,7.339280213525464
0,31,7.784536336296258
0,32,7.1926695217966214
0,33,7.265016947799399
0,34,7.697439923880557
0,35,7.3707652601528535
0,36,6.7580566058824925
0,37,7.308398056265488
0,38,7.2782100525295474
0,39,6.921640898330221
0,40,7.370077971390046
0,41,7.687332355779285
0,42,7.546340341511212
0,43,7.55784587991325
0,44,7.098228413985821
0,45,7.700806998530868
0,46,7.095571494739547
0,47,8.011037418242383
0,48,6.768027620132649
0,49,7.111403439919862
0,50,7.440968546246547
0,51,7.401776707569815
0,52,7.680083302383903
0,53,7.390378850654482
0,54,7.1991086812390925
0,55,7.015144794368668
0,56,7.301365018151946
0,57,7.0489951314087556
0,58,7.485808593353062
0,59,7.45165221862834
0,60,7.446433896621785
0,61,7.28044684098731
0,62,7.442503505514961
0,63,7.497443550928777
0,64,7.291545228647293
0,65,7.062893247038597
0,66,7.594030489985639
0,67,7.572722283607234
0,68,7.235856379659975
0,69,7.450141401328094
0,70,7.256998544555675
0,71,7.11664799553379
0,72,7.410928181907858
0,73,7.33809986588301
0,74,7.408497606163558
0,75,7.657352902040331
0,76,7.452381079242046
0,77,6.916118642278997
0,78,7.23657483562232
0,79,7.366404046243494
1,1,15.75962667090495
1,2,12.347016116879313
1,3,9.783808593850274
1,4,8.090774610473
1,5,7.931550567272224
1,6,5.546617915349716
1,7,5.855028883414002
1,8,6.780061047017323
1,9,5.675354518773834
1,10,5.939938348356113
1,11,5.576236883271374
1,12,6.25782979627542
1,13,6.305673213858813
1,14,5.960490613222637
1,15,6.101487009084191
1,16,6.222063056790483
1,17,6.6894091677133005
1,18,6.291534695918588
1,19,6.70842728048133
1,20,6.470977945339422
1,21,6.304246123351444
1,22,6.768865326553088
1,23,5.827888163078397
1,24,6.297247629184015
1,25,6.416773086300244
1,26,6.908825293647987
1,27,6.382001312509418
1,28,6.296131259986629
1,29,6.438087541478439
1,30,6.447716335767921
1,31,6.194351364841675
1,32,6.183952687774761
1,33,6.693414869090166
1,34,6.329696508296467
1,35,6.548384206569686
1,36,6.521429590318862
1,37,6.3564592707806495
1,38,6.257179282124478
1,39,6.27270786612162
1,40,6.57335126009822
1,41,6.089623889330268
