topic,weight,lag_count
Budget,-0.006817237439534224,3
Business,0.00434714544421007,3
Business_loan,0.013607002961519857,3
Business_model,0.005034201601152292,3
Capitalization,0.009454111777969615,3
Career,0.004831900800762009,3
Collaboration,-0.0015726132376617525,3
Cost,0.0027420617915932567,3
Credit,-0.0006654367719415126,3
Data,-0.00728124508698902,3
Disease,0.0010584795433197238,3
Economy,-0.0064957593725565805,3
Education,-0.00046227233072402223,3
Employment,-0.0012350295079655831,3
Energy,0.007362623084655021,3
Entrepreneurship,0.004113526973345602,3
Expense,0.0033710825835457617,3
Health,-5.7161400332807967e-08,3
Income,4.727180779654962e-05,3
Income_statement,0.009706085305486828,3
Innovation,-0.0003979091444757013,3
Innovation_management,0.007860602749268324,3
Invention,0.005187152128798858,3
Investment,-0.004185179963538456,3
Investment_banking,-0.0035574949047057543,3
Investment_fund,0.005333630789260947,3
Investment_management,-0.0022177844971776215,3
Investor,-0.004795828395055458,3
Job,0.005345683855166189,3
Laboratory,-0.011909389106926281,3
Law,-0.001988645779290823,3
Law_firm,0.000342724335025939,3
Loan,0.00302414922142042,3
Manufacturing,0.0014014921078059335,3
Medicine,0.004874926046897133,3
Patent,0.0012344018918018127,3
Patent_application,-0.00903234634654416,3
Patent_infringement,-0.008417489526644076,3
Patent_office,0.0013980233903710532,3
Research_&_Experimentation_Tax_Credit,0.0014314329317500708,3
Research_and_Development_Tax_Credit,-0.00012761210811630414,3
Salary,0.010053893980920407,3
Scholarship,0.006012741700285114,3
Semiconductor,-0.0016328613844471265,3
Small_Business_Innovation_Research,-0.011740745280716497,3
Stock,0.0012314301207107428,3
Subsidy,0.009820418519329523,3
Sustainability,2.323104417423314e-05,3
Tax,0.0014785854951164812,3
Tax_credit,-0.0025165760503329635,3
Tax_deduction,-0.007953442300340589,3
Tax_incentive,-0.005988932026460915,3
Tax_report,-0.007437495218777481,3
Technology,-0.0004279547742565167,3
Trademark,-0.00011564439053783351,3
Trademark_attorney,-0.000309497323153367,3
Wage,0.008740418001380383,3
