Year,Month,Raw_scale,Chow_Lin_old,Sparse,Standardized_input,Chow_current,Chow_old_rerun
2004,1,31.329270252232515,28.688237282898,32.9606514484556,41.44482314329681,7.59737157894471,28.688237282898
2004,2,28.695364345085707,28.0386032639846,28.4558868950222,40.92050396497376,-9.88274475730657,28.0386032639846
2004,3,6.901911294242141,30.0931395578973,30.2525550930859,-2.1575485899700837,-3.51712992039465,30.0931395578973
2004,4,24.792394314400944,30.6333424335577,33.7808424765506,29.90619541042334,-15.5279941542535,30.6333424335577
2004,5,27.42574280388937,33.0627543992953,31.6507212929523,13.47524680934866,43.7193975607343,33.0627543992953
2004,6,28.80055123070891,33.2544075087679,31.6587891196557,21.598499717956063,45.1132944082689,33.2544075087678
2004,7,34.23936480176854,36.4270251773139,32.9217596441761,38.29666929533425,47.7834373340999,36.4270251773139
2004,8,36.76905577176901,32.2225893089656,30.4018512590676,38.02754979234228,44.40281874245,32.2225893089656
2004,9,40.15674019079225,27.5393104116167,32.6307118488807,38.33193316217968,52.9489226515497,27.5393104116167
2004,10,35.54912830202486,28.2327981289782,31.766303426661,34.607082398054715,55.9406486181849,28.2327981289782
2004,11,44.27218820683351,32.8381373540475,30.3444773786476,41.79378342748746,58.7227358389092,32.8381373540475
2004,12,35.96531621022722,33.8666828966522,28.0724778408197,38.65228919254809,47.596269822788,33.8666828966522
2005,1,31.27097358752364,31.4615155398743,32.6671964988913,40.6418328258505,9.08997070024379,31.4615155398743
2005,2,21.123599574296627,30.4934522754843,32.544889218487,26.63296155055772,-0.806639122463247,30.4934522754843
2005,3,19.590166697268035,33.6500493216966,35.7795726606667,18.32492496122647,0.470787028794546,33.6500493216966
2005,4,22.813246995696087,32.4918181436384,33.8750117317527,27.215697263849677,-22.0206922945013,32.4918181436384
2005,5,37.09451506716801,35.1788021128944,29.6011765246062,34.08512900894871,46.5824085579757,35.1788021128944
2005,6,35.81050899507843,34.764156329613,33.2454243669526,29.043410877314248,47.130261665977,34.764156329613
2005,7,37.77746758420657,35.9844842594659,30.0612715531735,33.098232771136935,49.2407487548056,35.9844842594659
2005,8,36.63883873608925,32.2556477236717,34.9235512406195,44.6394968192731,45.7487490045505,32.2556477236718
2005,9,48.66938507601196,29.6351244067091,34.2360364309853,57.75072073970035,55.4928184091218,29.6351244067091
2005,10,40.10378392388524,29.2210080367915,30.9919574982107,38.3744257744031,55.7694981451445,29.2210080367915
2005,11,34.68636466859578,32.055035311153,31.8481434937687,22.53252165746148,55.4123546395913,32.055035311153
2005,12,24.727639398581417,33.1153968434087,30.532259086287,17.967136054678786,48.1962248151609,33.1153968434087
2006,1,21.25934821259052,35.30346727897,35.013139522378,17.10439378067965,15.8078602874924,35.30346727897
2006,2,23.356179990623342,35.0798265185375,34.8342699673328,31.983510853258014,-3.48402101146,35.0798265185375
2006,3,17.9552864175556,36.9804848612701,38.5993575231929,7.784263579386674,8.76892820102311,36.9804848612701
2006,4,6.0421020649775015,30.0198173238652,36.8786690520013,-2.7925449647325555,-18.4390547133153,30.0198173238652
2006,5,39.22404245863288,35.947193810547,33.8555136040802,32.82659890132546,50.0283782150365,35.947193810547
2006,6,37.76094622043467,34.625655438862,33.6094958619321,34.42253123056349,49.8490688233163,34.625655438862
2006,7,43.82052027801525,36.633343669143,31.8792424183594,54.77585795338931,48.8425284620692,36.633343669143
2006,8,44.14160487546423,35.4435467782351,31.6968876335872,54.80779569204937,49.2860340887609,35.4435467782351
2006,9,43.2158040690198,31.4652671580101,31.9955079222751,41.428510222740165,51.5494178676859,31.4652671580101
2006,10,52.36473736574033,29.807644289955,34.4949787731576,52.82418946908082,54.0398256996874,29.807644289955
2006,11,44.07825903408615,32.8944423663793,32.995797175069,43.2293159756627,55.7441463223869,32.8944423663793
2006,12,34.92830128732182,33.9464427806876,32.2942728210963,39.75270958105895,46.1540200317788,33.9464427806876
2007,1,34.650639522867536,36.5246980658169,33.9689213714052,43.57212003289085,16.8135843029404,36.5246980658169
2007,2,16.730813653167797,33.855521778791,37.4531488693721,22.822817707098885,0.683855565569703,33.855521778791
2007,3,16.91257201968062,37.6945684492484,36.9922024193878,12.736728381320466,11.4457794259903,37.6945684492484
2007,4,15.27165118375366,33.5808743781561,36.6768488716377,15.371987840995349,-19.1613610336699,33.5808743781561
2007,5,39.45001783358136,38.7053590596694,35.7294986670825,37.10156366477425,45.8045691356091,38.7053590596694
2007,6,42.01610109994761,36.9602582926724,35.5832246210842,39.06755157466965,52.2050939608974,36.9602582926724
2007,7,41.3118967565441,38.8007442801057,36.765081838147,39.70423358247757,49.8552567608191,38.8007442801057
2007,8,41.90281544042441,36.7338717853361,37.4714265283471,42.86657660246421,50.1878591507515,36.7338717853361
2007,9,45.34660759479189,32.8273402925849,33.7704645176445,39.593893111657806,57.142893591585,32.8273402925849
