topic,weight,lag_count
Budget,-0.0009137642865178734,3
Business,0.001625503788149279,3
Business_loan,0.009324523211959642,3
Business_model,0.0020525607852750543,3
Capitalization,0.002204773517414264,3
Career,0.0014701017858546252,3
Collaboration,-0.0004541920963363967,3
Cost,0.000678694492750352,3
Credit,-0.00014729357815911602,3
Data,-0.0024019910508947047,3
Disease,0.0003654663590155843,3
Economy,-0.0013905228882204318,3
Education,-0.00024103311068938085,3
Employment,-0.00043976611341027343,3
Energy,0.0008215142329830103,3
Entrepreneurship,-0.0008188207942451111,3
Expense,0.00037791956831340306,3
Health,-0.004125571774813223,3
Income,-1.127232215387365e-05,3
Income_statement,0.0037413542928488707,3
Innovation,-0.0001300747290719971,3
Innovation_management,0.0053584610227378265,3
Invention,0.0013351932999793165,3
Investment,-0.0005196800638652102,3
Investment_banking,-0.0006374746190696397,3
Investment_fund,0.002361067598555847,3
Investment_management,-0.00037331403988105524,3
Investor,-0.0014553323842606452,3
Job,0.0020240119415826704,3
Laboratory,-0.004620292255905903,3
Law,-0.000751763760711109,3
Law_firm,7.332804931659822e-05,3
Loan,1.0609495639805232e-05,3
Manufacturing,0.000398445413480784,3
Medicine,0.0012467598980251506,3
Patent,0.0002690014704440264,3
Patent_application,-0.0037975875187414537,3
Patent_infringement,-0.005135767958565789,3
Patent_office,0.00016857262261858304,3
Research_&_Experimentation_Tax_Credit,0.0010896645820043292,3
Research_and_Development_Tax_Credit,1.6186579193176412e-05,3
Salary,0.0011497343645002795,3
Scholarship,0.001799510920716797,3
Semiconductor,-0.0001923588676860153,3
Small_Business_Innovation_Research,-0.008737077564905892,3
Stock,-0.00016551492849887874,3
Subsidy,0.005026091756290886,3
Sustainability,-9.041091578108436e-05,3
Tax,0.0003905674173856461,3
Tax_credit,0.0018895191076997286,3
Tax_deduction,-0.0031159255178117274,3
Tax_incentive,-0.0015840807707619992,3
Tax_report,-0.0024000488438740398,3
Technology,-2.444599820276211e-05,3
Trademark,1.63939693497707e-05,3
Trademark_attorney,-0.00017723290332304076,3
Wage,0.0034919717518096197,3
