estimate,reference,level_r,level_p,growth_r,growth_p,n_level,n_growth
Raw_scale,Sparse,0.4242860743641788,7.531258677947424e-11,-0.06747074541667718,0.3247858988675145,216,215
Raw_scale,Chow_Lin_old,0.4185028978820284,1.438614426776695e-10,0.09705155997800924,0.156158877069753,216,215
Standardized_input,Sparse,0.3934971798081401,2.0577280277863913e-09,-0.025948748971164125,0.7051861941332564,216,215
Standardized_input,Chow_Lin_old,0.41166839205741207,3.042959977320299e-10,-0.08870756382454006,0.19508525503432655,216,215
Raw_scale,Standardized_input,0.8672123372130573,9.841097673313452e-67,-0.5288310282085916,6.862284938683944e-17,216,215
