topic,weight,lag_count
Budget,-0.007796740131711738,3
Business,0.004673856693864747,3
Business_loan,0.012302514100695166,3
Business_model,0.005266149335155619,3
Capitalization,0.010528324209079414,3
Career,0.006286782716983474,3
Collaboration,-0.001503337402963847,3
Cost,0.003763543935833557,3
Credit,-0.0013406169954713028,3
Data,-0.006865433085166024,3
Disease,0.0027657850895060755,3
Economy,-0.006399029676627418,3
Education,-0.0006908278437184993,3
Employment,-0.0006829965945183012,3
Energy,0.006614030869371107,3
Entrepreneurship,0.004462911118035395,3
Expense,0.0030549661333625785,3
Health,3.117102033248003e-08,3
Income,-0.0001143273438050778,3
Income_statement,0.00968306272527515,3
Innovation,0.000838817991396931,3
Innovation_management,0.007520295442917738,3
Invention,0.005085741800933529,3
Investment,-0.005370901042493217,3
Investment_banking,-0.0033620804437027845,3
Investment_fund,0.00568546499109859,3
Investment_management,-0.0017726360749267533,3
Investor,-0.005050759355464141,3
Job,0.00557793332327199,3
Laboratory,-0.011344146912412091,3
Law,-0.0015204619479977132,3
Law_firm,0.0012390653456720382,3
Loan,0.002736254098945227,3
Manufacturing,0.0014111029389813747,3
Medicine,0.004139025844527817,3
Patent,0.0009472077662912715,3
Patent_application,-0.009692609136849833,3
Patent_infringement,-0.006709192643911896,3
Patent_office,0.001518807391054293,3
Research_&_Experimentation_Tax_Credit,-0.000571004101064873,3
Research_and_Development_Tax_Credit,-0.0005090257921135715,3
Salary,0.010109741891291157,3
Scholarship,0.007519240329419104,3
Semiconductor,-0.0008282025122873064,3
Small_Business_Innovation_Research,-0.014826829370466962,3
Stock,0.0003102199857047,3
Subsidy,0.006667757988621779,3
Sustainability,-0.0005763665009054596,3
Tax,0.0015660091488066512,3
Tax_credit,-0.0030102652903464338,3
Tax_deduction,-0.008345197107507677,3
Tax_incentive,-0.005479253942411884,3
Tax_report,-0.007895415663526561,3
Technology,-5.251848606757503e-05,3
Trademark,0.00045304846451678615,3
Trademark_attorney,-7.065737842821976e-05,3
Wage,0.008153076468629642,3
