topic,weight,lag_count
Budget,-0.0010892866984797032,3
Business,0.0017093506489621027,3
Business_loan,0.008415031061806296,3
Business_model,0.002102224506047761,3
Capitalization,0.0021072336490099174,3
Career,0.0017942672561784912,3
Collaboration,-0.00043901968658770083,3
Cost,0.0008437509805321853,3
Credit,-0.00027400618983234475,3
Data,-0.002226931464039067,3
Disease,0.0008344903629290724,3
Economy,-0.0012998653602237411,3
Education,-0.00032851007834294927,3
Employment,-0.00025519972807232504,3
Energy,0.0007246681137881962,3
Entrepreneurship,-0.0009701552495642953,3
Expense,0.00019384712216135888,3
Health,-0.004239154366540383,3
Income,1.9272514152187017e-05,3
Income_statement,0.003587368686571772,3
Innovation,0.0002960030873671195,3
Innovation_management,0.005101781523907047,3
Invention,0.0013061194810780477,3
Investment,-0.0005984313777825235,3
Investment_banking,-0.0006417396612825502,3
Investment_fund,0.0024747594644215923,3
Investment_management,-0.00035332892669087836,3
Investor,-0.0014501606174714507,3
Job,0.0020392061755659034,3
Laboratory,-0.004317426588274074,3
Law,-0.0005969933203216504,3
Law_firm,0.00041116057989722094,3
Loan,-2.6186338630338342e-05,3
Manufacturing,0.00036770990164306444,3
Medicine,0.0010828096541643285,3
Patent,0.00023521875732372436,3
Patent_application,-0.0040970803852376616,3
Patent_infringement,-0.004096320559374196,3
Patent_office,0.00017536761972015025,3
Research_&_Experimentation_Tax_Credit,-0.0004935896985349725,3
Research_and_Development_Tax_Credit,-0.0001128163815578706,3
Salary,0.0008328840899175278,3
Scholarship,0.0023101301593968318,3
Semiconductor,-8.723170182473509e-05,3
Small_Business_Innovation_Research,-0.011089616921377715,3
Stock,-1.7564387687801174e-05,3
Subsidy,0.00326567937711586,3
Sustainability,-0.00028862241011360273,3
Tax,0.0003616002567483196,3
Tax_credit,0.0023024961768901516,3
Tax_deduction,-0.0031587979651228567,3
Tax_incentive,-0.0014971704029259501,3
Tax_report,-0.002515377658307341,3
Technology,5.4899052056110464e-05,3
Trademark,0.00013853195187206167,3
Trademark_attorney,-5.194314135447309e-05,3
Wage,0.0031050752937297737,3
