run_name,run_id,state,variant,created_at,batch_size,learning_rate,hidden1_dim,hidden2_dim,hidden3_dim,embedding_dim,size_ensemble,num_epochs,patience,lr_milestone,lr_gamma,optimizer,weight_decay,dropout_rate,dataset_variant_cfg,test_rmse,test_mae,test_mape,test_r2,val_rmse,val_mae,val_mape,train_rmse
0cgv1q1h,UnVuOnYxOjBjZ3YxcTFoOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AllVar,2025-12-16T14:25:34Z,64.0,0.018289985521551935,256.0,32.0,32.0,4.0,5.0,18000.0,12000.0,1200.0,0.1,adamw,0.001,0.0,AllVar,195.21302795410156,126.10945892333984,81.04436492919922,-4.84636116027832,137.9247283935547,89.69253540039062,67.03067016601562,117.0519027709961
g2n65hpr,UnVuOnYxOmcybjY1aHByOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-12T10:42:41Z,64.0,0.0022355231443206675,256.0,0.0,32.0,4.0,3.0,12000.0,8000.0,300.0,0.5,adamw,0.001,0.3,AGTwRD,184.920654296875,123.8627700805664,75.91462707519531,-0.967298150062561,144.03704833984375,102.7181396484375,87.10459899902344,111.6442591349284
82rji4nr,UnVuOnYxOjgycmppNG5yOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-12T10:19:40Z,64.0,0.001322746198811816,256.0,16.0,32.0,4.0,5.0,18000.0,4000.0,1200.0,0.5,adamw,0.001,0.2,AGTwRD,209.76422119140625,163.64405822753906,187.2818298339844,-1.5314078330993652,166.45896911621094,142.50958251953125,207.9107360839844,155.46893615722655
7sd88juq,UnVuOnYxOjdzZDg4anVxOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGT,2025-12-11T16:06:50Z,32.0,0.0009078957102498424,256.0,32.0,0.0,4.0,3.0,18000.0,8000.0,1200.0,0.3,adamw,0.0001,0.3,,1394.3228759765625,862.7383422851562,822.5892333984375,-193.5172882080078,824.1119384765625,480.3362426757813,470.3464050292969,1072.9247233072915
ft9078ak,UnVuOnYxOmZ0OTA3OGFrOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-11T16:02:19Z,64.0,0.007787992567104726,200.0,32.0,32.0,4.0,5.0,18000.0,12000.0,300.0,0.5,adamw,0.0,0.2,Macros,193.66111755371097,119.6458969116211,77.20883178710938,0.05157548189163208,151.37533569335938,96.7942886352539,85.25215911865234,124.3965103149414
idz3qeez,UnVuOnYxOmlkejNxZWV6Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T15:54:22Z,64.0,0.0006257200740516735,128.0,0.0,32.0,4.0,3.0,18000.0,8000.0,1200.0,0.3,adamw,0.001,0.3,AGTwRD,294.89227294921875,195.1801300048828,130.94618225097656,-4.002949237823486,129.53221130371094,93.2904052734375,90.73070526123048,348.66143290201825
3l1l4lpl,UnVuOnYxOjNsMWw0bHBsOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T15:48:20Z,32.0,0.0027890461201414084,128.0,32.0,32.0,4.0,3.0,30000.0,8000.0,1200.0,0.5,adamw,0.0,0.0,MGTwRD,164.3813934326172,113.35932159423828,60.445194244384766,-1.9610471725463867,114.76638793945312,85.7785415649414,63.57024383544922,131.84881337483725
7s2t0qgy,UnVuOnYxOjdzMnQwcWd5Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T15:28:02Z,64.0,0.01752790178390718,200.0,32.0,16.0,4.0,5.0,30000.0,8000.0,800.0,0.5,adamw,0.0,0.0,LagRD,269.8295593261719,205.29226684570312,316.9366455078125,-0.7272952795028687,258.474609375,193.40750122070312,350.35406494140625,359.4926818847656
du0q36yr,UnVuOnYxOmR1MHEzNnlyOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T14:31:19Z,32.0,0.0005498373370231227,128.0,32.0,32.0,4.0,3.0,12000.0,4000.0,1200.0,0.5,adamw,0.0,0.0,MGTwRD,141.3585662841797,120.12062072753906,153.0876007080078,-1.1896982192993164,109.2597885131836,98.56521606445312,140.82431030273438,131.430539449056
fxicmlir,UnVuOnYxOmZ4aWNtbGlyOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T14:23:00Z,64.0,0.007403442880404313,200.0,20.0,32.0,4.0,3.0,30000.0,8000.0,300.0,0.1,adamw,0.001,0.3,AGTwRD,207.5398712158203,168.98764038085938,211.85629272460935,-1.4780066013336182,167.7664031982422,144.13265991210938,226.58021545410156,159.17682393391928
