Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model
CA,1,846.9259996194673,2183.064351969167,4.150734611556647,ElasticNet,MGT
CA,2,974.7816079283024,2416.165827797964,4.6425294497765135,ElasticNet,MGT
CA,3,989.0327442129286,2450.0620735795305,4.699420178981315,ElasticNet,MGT
DE,1,2818.41291901718,5567.11447420622,3.377832787820489,ElasticNet,MGT
DE,2,2917.4122865011536,5805.896609286171,3.547575387746215,ElasticNet,MGT
DE,3,3035.163451792714,6218.2146724860895,3.7032168717818754,ElasticNet,MGT
JP,1,6926.825867609675,11507.387122649096,5.244175533532671,ElasticNet,MGT
JP,2,7148.509013667911,12105.769637594609,5.394868332935313,ElasticNet,MGT
JP,3,7178.030035313784,12422.072816027228,5.416925133776764,ElasticNet,MGT
KR,1,5928.458362933695,8160.70015905335,11.337933899274216,ElasticNet,MGT
KR,2,5101.0541304710605,7101.486644028894,9.440449753844744,ElasticNet,MGT
KR,3,4758.557601523028,6475.137838984466,8.607926449488673,ElasticNet,MGT
CH,1,158.70850620899694,289.68305642767274,0.9973832493239188,ElasticNet,MGT
CH,2,245.57380957852172,509.85433720223193,1.8562549115802085,ElasticNet,MGT
CH,3,444.6240689307163,933.8448877647122,3.6335639333504024,ElasticNet,MGT
GB,1,1648.848775496969,2309.687001226294,3.1086604840507426,ElasticNet,MGT
GB,2,1244.6801123681964,1929.0203797390864,2.4280422364985506,ElasticNet,MGT
GB,3,1169.5957263702044,1887.0691489644807,2.307957055310423,ElasticNet,MGT
US,1,21779.449345524434,36825.76955520514,5.149904047549897,ElasticNet,MGT
US,2,20191.060414807424,36584.51921051305,4.972210470871224,ElasticNet,MGT
US,3,19835.092471212476,38072.18153807242,4.997698050973689,ElasticNet,MGT
CN,1,45694.54034007691,52690.15728073582,39.89567501790411,ElasticNet,MGT
CN,2,43262.13209704416,49887.54373587374,37.76514019001878,ElasticNet,MGT
CN,3,41084.27067065622,47831.61548729656,36.279784018172926,ElasticNet,MGT
CA,1,2885.9704401480326,3466.582399834136,24.558191282959655,ElasticNet,AGT
CA,2,2808.023438367216,3451.704831652626,24.28913627778132,ElasticNet,AGT
CA,3,2772.837175348288,3445.496273641836,24.160076528441436,ElasticNet,AGT
DE,1,5919.667922218234,8014.756284866848,9.972145751738989,ElasticNet,AGT
DE,2,5831.564319820776,7951.084131997956,9.870198520698816,ElasticNet,AGT
DE,3,5667.453128220564,7880.380272169234,9.698716738048214,ElasticNet,AGT
JP,1,13738.838924856136,21801.314755582865,18.423800514444416,ElasticNet,AGT
JP,2,14012.499290195365,21678.970477163977,18.476673683984867,ElasticNet,AGT
JP,3,13932.954214182182,21591.523958288217,18.379956353385623,ElasticNet,AGT
KR,1,12052.00386830026,14714.040014963031,24.362061604276505,ElasticNet,AGT
KR,2,9140.00560731554,11076.256911371154,18.510376069561342,ElasticNet,AGT
KR,3,7526.420740434386,9170.25144773418,15.30108841942955,ElasticNet,AGT
CH,1,1811.0742563393865,2132.011878859127,13.846038064075524,ElasticNet,AGT
CH,2,1532.439837064522,1896.8930944566089,13.416293431329692,ElasticNet,AGT
CH,3,1439.9122270931214,1861.1797086460997,12.861548019165737,ElasticNet,AGT
GB,1,2163.359833889911,3525.9554546738564,4.851287883487908,ElasticNet,AGT
GB,2,1861.0999328003843,3006.5129734778484,4.277765536507814,ElasticNet,AGT
GB,3,1812.5454969878456,2923.410340698407,4.184708729446955,ElasticNet,AGT
US,1,46115.39258544443,54328.80612413441,18.139636192615903,ElasticNet,AGT
US,2,43175.070359883975,51209.120469675545,17.540677548833372,ElasticNet,AGT
US,3,40790.87654126297,49480.53431749751,17.089875044533816,ElasticNet,AGT
CN,1,44193.94693302462,49398.623649564965,93.90200369649136,ElasticNet,AGT
CN,2,34526.41904768338,44331.96846158728,80.57273556805656,ElasticNet,AGT
CN,3,33303.7665906945,46573.896813072264,71.07087366253904,ElasticNet,AGT
CA,1,161.11295054801806,351.73567741515666,0.6294933262865736,ElasticNet,MGTwRD
CA,2,161.1357170774042,351.759941623518,0.6295737887733173,ElasticNet,MGTwRD
CA,3,160.27529197700198,350.334985800812,0.6262737293750354,ElasticNet,MGTwRD
DE,1,473.38144351985255,743.7988026172177,0.5092943949095471,ElasticNet,MGTwRD
DE,2,489.5893507238948,759.7741651325679,0.5293226292436128,ElasticNet,MGTwRD
DE,3,490.2975575484538,760.3391498256401,0.5301037536070158,ElasticNet,MGTwRD
JP,1,706.9216143088739,1437.5971886200205,0.4626562212738823,ElasticNet,MGTwRD
JP,2,707.2577526335048,1437.5006382154004,0.4627922841465361,ElasticNet,MGTwRD
JP,3,707.634338855905,1437.393929052752,0.4629447196157098,ElasticNet,MGTwRD
KR,1,825.260677563191,1629.944618954259,1.6448315253714147,ElasticNet,MGTwRD
KR,2,882.0928382997678,1629.735550365271,1.6929478628402594,ElasticNet,MGTwRD
KR,3,909.742289820909,1631.1296576925467,1.722032319058839,ElasticNet,MGTwRD
CH,1,255.94759808656457,529.3360852830906,1.895539913054056,ElasticNet,MGTwRD
CH,2,254.03890131354024,531.0227397143684,1.8899787820771312,ElasticNet,MGTwRD
CH,3,262.0634920105815,535.652099284433,1.96223990725846,ElasticNet,MGTwRD
GB,1,519.468816585646,1884.0582573862312,0.9499277276536134,ElasticNet,MGTwRD
GB,2,521.3324226925139,1882.2888861681504,0.9608059679772426,ElasticNet,MGTwRD
GB,3,527.2271567531589,1882.022468763,0.9701124078167772,ElasticNet,MGTwRD
US,1,2897.6524681726496,4455.300139417571,0.6365327279481091,ElasticNet,MGTwRD
