,mid,type
Samsung Electronics,/m/01nn79,Electronics corporation
Technological innovation,/g/121zpl2_,Topic
Policy,/m/020xwm,Topic
Cost,/m/0168hv,Topic
Design strategy,/m/03gsx3d,Topic
2020,/g/11b77d3kyh,Topic
Strategic Management of Technological Innovation,/g/12bnckz7_,Book by Melissa Schilling
Knowledge,/m/01k8wb,Topic
Impact factor,/m/040dhg,Topic
Economics,/m/02j62,Field of study
Technique,/g/122152pm,Topic
City,/m/01n32,Topic
Shenzhen,/m/0lbmv,City in China
Industrial park,/m/02k7bf,Topic
Amusement park,/m/010jjr,Topic
Malaysia,/m/09pmkv,Country in Asia
College Park,/m/0pc6x,City in Maryland
Electronics,/m/02mrp,Discipline
Number,/m/05fwb,Topic
Design patent,/m/05z0vs,US patent type
Korean,/m/02hwhyv,Spoken language
Exam,/g/121jyvn6,Topic
Law firm,/m/03mjyc,Topic
Law school,/m/0921h6,School category
Property,/m/05wrt,Topic
Internet Protocol,/m/03yqv,Topic
Patent infringement,/m/02wwyh,Topic
Research and Development Expenditure Credit,/m/0vplddt,Topic
Capital expenditure,/m/04xxl8,Topic
HM Revenue & Customs,/m/02_q0z,Government department
Revenue,/m/01kr9k,Topic
Capitalization,/m/01fl8h,Topic
Rate,/m/01x1q9,Mathematics
Corporation,/m/023k2,Organization type
Market development,/m/0clvlm,Topic
Product life-cycle management,/m/01jws5,Marketing
Ansoff matrix,/m/0114kd7z,Topic
SFC Capital,/g/11b_03xd_3,Company
Funding Circle,/m/0gjb6j1,Commercial banking company
Business loan,/g/11bc8lgh_8,Topic
Fintech,/m/012c1cfr,Topic
Leverhulme Trust,/m/047p4x,Educational establishment
Economic and Social Research Council,/m/026mqtp,Government agency
Cancer Research UK,/m/02wx95,Charity
Medical Research Council,/m/02z694,Government agency
Engineering & Physical Sciences Research Council,/m/07qq9s,Government department
