estimator,draw,delta,N,Mosley_lvl,Mosley_gr,Mosley_gr_p,Sax_lvl,Sax_gr,Sax_gr_p,Mosley_q_lvl,Mosley_q_gr,Sax_q_lvl,Sax_q_gr,quarterly_employment_r,quarterly_employment_p,quarterly_employment_n,minimum_monthly_estimate,fixed_level_corr,fixed_growth_corr,fixed_monthly_mae
fixed_1pct,0,0.01,216,0.7580812893216606,0.15915269833825574,0.019546825064296575,0.6643420951483224,-0.06875119165398691,0.31566721898791056,0.8718226393340207,0.08494441788057301,0.8927262536957635,0.2399223928957107,0.34552719981967306,0.009773110035728732,55,18.616674244193234,,,
normal_draw,1,0.0028267765067750096,216,0.7584493575288966,0.15949536906204015,0.019282322209722428,0.6645806210112872,-0.06894456778412396,0.31430474693413757,0.872101643553876,0.08566536651617578,0.8929188904359827,0.2402042758800526,0.34517733006059814,0.009852442441832969,55,18.63054963357076,0.9999997756191343,0.9999997404318852,0.006530840873171799
normal_draw,2,0.003789245961024431,216,0.7583293269861624,0.15938384163833494,0.019368065722006094,0.6645027657109203,-0.06888165748741709,0.3147475725782761,0.8720104865332138,0.08542886935081342,0.8928559862096117,0.24011182824734748,0.345292895481643,0.009826176756485405,55,18.62604687708487,0.999999898236083,0.9999998826824416,0.00439861876016629
normal_draw,3,0.015068872352641085,216,0.7581410406184432,0.15920611796866013,0.019505385258069705,0.6643812490402625,-0.06878194119023323,0.3154503095510215,0.871868734269976,0.08506269775866106,0.8927582383269149,0.2399687519615201,0.3454685787277686,0.009786363588926764,55,18.618851116636353,0.9999999939467126,0.9999999930837163,0.001072328257030038
normal_draw,4,0.011034311283104807,216,0.7581670711776112,0.15923115616341438,0.019485988343913133,0.6643979112538717,-0.06879555419930408,0.31535431346013976,0.8718882313631319,0.08511318857096316,0.8927716179883811,0.2399886597064944,0.3454449123984372,0.009791718679356801,55,18.619905184678625,0.9999999877438519,0.9999999861321269,0.0015282072234273298
normal_draw,5,0.018819535358215365,216,0.7581231714582436,0.15918890513744624,0.0195187296305197,0.6643697265586386,-0.06877240878665103,0.3155175414108185,0.8718555819235165,0.0850299626863716,0.8927491151586089,0.23995566299965035,0.34548404486065665,0.009782865364762453,55,18.618119611129657,0.9999999968846314,0.9999999963606464,0.0007631980796166301
normal_draw,6,0.014194545086319066,216,0.7581484246793205,0.1592136402708676,0.019499556023958274,0.6643859531889749,-0.06878614360225652,0.31542067298745863,0.871874071093946,0.0850767228549621,0.8927619058149898,0.23997420461884864,0.34546217381218214,0.00978781260874166,55,18.619127053772562,0.9999999924042624,0.9999999911133806,0.0012002253418972567
normal_draw,7,0.0027561279487905007,216,0.7584482016214831,0.15949495636640532,0.019282638886498983,0.6645801826515987,-0.06894327641639725,0.31431383278127784,0.8721013984190276,0.08566513138938231,0.8929191206219811,0.24020757668973683,0.3451778328859112,0.009852328028330611,55,18.630437349769704,0.9999997765741965,0.9999997383439776,0.006511938649083422
normal_draw,8,0.006157911763674239,216,0.7582476820484874,0.1593080158302848,0.019426550177555797,0.6644499634515293,-0.06883844492710367,0.3150519816393854,0.8719488897468359,0.08526900405034159,0.892813658224807,0.24005070561315922,0.34536995458784336,0.009808696472294603,55,18.622973501258947,0.9999999542279572,0.9999999468715849,0.002950297105654844
normal_draw,9,-0.005534212708328965,216,0.7579321003580597,0.15901701512986127,0.01965242357805926,0.6642447882999927,-0.068672676029147,0.31622151497186746,0.8717080903116048,0.08465007196830143,0.8926466247393973,0.2398067482795118,0.34567068429172565,0.009740735381107023,55,18.611406495759994,0.9999999619619964,0.9999999531067225,0.002670416760169724
normal_draw,10,0.015891133873870488,216,0.7581286273818381,0.15919481413928935,0.019514147741564687,0.6643731214696385,-0.06877549335378051,0.31549578499529024,0.8718594908577781,0.08504040508816571,0.8927518247927508,0.23996033806707173,0.34547979835197373,0.009783825758166676,55,18.61836911327414,0.9999999961379373,0.9999999955089166,0.0008535556398171208
normal_draw,11,0.0034184892437830617,216,0.7583652536648761,0.15941660949276337,0.01934283918170516,0.6645254095201938,-0.06890113410066781,0.31461043317894355,0.8720381196561778,0.08549707453044476,0.8928749093634565,0.24013662079546225,0.34525850160026633,0.009833987449773266,55,18.627412166026385,0.9999998668739775,0.9999998475356291,0.0050338914832441795
normal_draw,12,0.007388972796597079,216,0.7582206050341072,0.1592820856359348,0.019446585264299595,0.6644322062487997,-0.0688243238100373,0.31515149888415855,0.8719285926877148,0.08521780162351669,0.8927993696432064,0.24002907577833407,0.34539446157528286,0.009803142888144722,55,18.62194293292071,0.9999999678445448,0.9999999633208729,0.0024748663997941106
normal_draw,13,0.015012914313941325,216,0.7581430777336802,0.1592084587245357,0.019503571181465826,0.6643822645291495,-0.06878325627451552,0.3154410350202994,0.871870468688297,0.08506854440744939,0.8927592800495974,0.23997074524279965,0.34546533694529236,0.009787096972270747,55,18.61892570618896,0.9999999934700576,0.999999992420935,0.001111820705762208
normal_draw,14,0.0071093662710827845,216,0.7582283430700995,0.15928999422536447,0.0194404727564842,0.6644371298475757,-0.06882832983953395,0.3151232646843505,0.8719347313700996,0.08523618105114972,0.8928035931330789,0.24003745050675276,0.34538526048290974,0.009805227649469837,55,18.622245530682626,0.9999999639479031,0.9999999583478404,0.0026174748213555516
normal_draw,15,0.006664494305670267,216,0.7582326522463182,0.1592930253820118,0.019438130433083685,0.6644405852615682,-0.06883024886205329,0.3151097401401275,0.871937638931217,0.08524163977916903,0.8928058964078434,0.24004043765770008,0.3453835530961921,0.009805614547238944,55,18.622424274722917,0.9999999621073877,0.9999999564584185,0.0026862821723875863
normal_draw,16,-0.001337020071019289,216,0.7573607401565379,0.15848901643831168,0.0200680725886869,0.6638763897291098,-0.06836625921067864,0.3183907875432131,0.8712726264813468,0.0835388419013546,0.8923443259237515,0.23936795865846514,0.3462106466812488,0.009619733281478814,55,18.589941568887006,0.9999991352534272,0.999998990295385,0.012828172989341868
normal_draw,17,-0.0028906333098225705,216,0.7577432974088143,0.15884245809591746,0.019789003895509524,0.6641230674317595,-0.06857263083225773,0.31692872161872243,0.8715643085212029,0.08427749460980238,0.8925475484191163,0.23966271500063352,0.3458516887750414,0.009700027467891488,55,18.604343780527415,0.9999998087945394,0.9999997754372926,0.006019541000097565
normal_draw,18,0.015038751700534213,216,0.7581434877094838,0.15920894309689107,0.019503195813070275,0.6643829772909444,-0.06878299003292915,0.3154429126542451,0.8718705370478554,0.08506787346638923,0.8927595897420914,0.2399716300244533,0.3454668921615569,0.009786745132208742,55,18.61891487521137,0.9999999934528527,0.9999999922700442,0.0011124490538355336
normal_draw,19,0.007303405260662917,216,0.7582342082424163,0.15929522302748653,0.019436432357749597,0.6644409624540968,-0.06883185098616625,0.3150984492659789,0.8719389760557475,0.08524387296287055,0.8928067382345887,0.24004060285070447,0.3453812098864493,0.009806145545481074,55,18.622468204345495,0.9999999611577453,0.999999955038335,0.0027182881794323896
normal_draw,20,0.012370511714898903,216,0.7581627169730418,0.15922741667750828,0.01948888423415693,0.664395026800837,-0.06879374326160441,0.3153670827148024,0.8718850689584307,0.08510633423248704,0.892769460825529,0.23998635648558103,0.34544786763579377,0.009791049845511943,55,18.619714069868134,0.9999999888746889,0.9999999871649407,0.0014540182152723115
normal_mean,-1,0.007754174982620736,216,0.7581476374268106,0.15921434034105053,0.01949901359763196,0.6643852405093436,-0.0687854006139891,0.3154259126125794,0.8718730500558254,0.08507475016252443,0.8927610237900263,0.23997361072411658,0.3454638044374955,0.009787443685653987,55,18.619212069815582,0.9999999927236365,0.9999999917304888,0.0011775974707604958
