variant,sweep_id,run_name,run_id,state,url,config,final_ensemble_val_rmse,final_ensemble_val_mae,final_ensemble_val_mape,final_avg_train_rmse,final_avg_val_rmse,test_rmse,test_mae,test_mape,test_r2
AllVar,ibuldymc,daily-sweep-7,mv70408a,finished,https://wandb.ai/epfl_stip/nowcasting-rd-mlp/runs/mv70408a,"{""batch_size"": 32, ""dataset_variant"": ""AllVar"", ""dropout_rate"": 0.1, ""embedding_dim"": 4, ""hidden1_dim"": 200, ""hidden2_dim"": 32, ""hidden3_dim"": 20, ""learning_rate"": 0.005029416563627241, ""lr_gamma"": 0.5, ""lr_milestone"": 800, ""num_epochs"": 18000, ""optimizer"": ""adamw"", ""patience"": 8000, ""size_ensemble"": 5, ""weight_decay"": 0.0001}",169.54470825195312,106.9880599975586,86.80093383789062,137.78453063964844,174.9602020263672,216.70999145507812,133.9635009765625,85.33601379394531,-6.2048659324646
AllVar,ibuldymc,pious-sweep-11,andz3srd,finished,https://wandb.ai/epfl_stip/nowcasting-rd-mlp/runs/andz3srd,"{""batch_size"": 32, ""dataset_variant"": ""AllVar"", ""dropout_rate"": 0.3, ""embedding_dim"": 4, ""hidden1_dim"": 256, ""hidden2_dim"": 20, ""hidden3_dim"": 20, ""learning_rate"": 0.01112894332060025, ""lr_gamma"": 0.5, ""lr_milestone"": 1200, ""num_epochs"": 30000, ""optimizer"": ""adamw"", ""patience"": 12000, ""size_ensemble"": 5, ""weight_decay"": 0.001}",173.94943237304688,125.21849822998048,145.03395080566406,135.77447967529298,176.40996398925782,221.5967559814453,145.2983856201172,127.93364715576172,-6.533465385437012
AllVar,ibuldymc,sandy-sweep-10,0bni5yia,finished,https://wandb.ai/epfl_stip/nowcasting-rd-mlp/runs/0bni5yia,"{""batch_size"": 16, ""dataset_variant"": ""AllVar"", ""dropout_rate"": 0.1, ""embedding_dim"": 4, ""hidden1_dim"": 256, ""hidden2_dim"": 20, ""hidden3_dim"": 32, ""learning_rate"": 0.00935827586415266, ""lr_gamma"": 0.3, ""lr_milestone"": 1200, ""num_epochs"": 30000, ""optimizer"": ""adamw"", ""patience"": 8000, ""size_ensemble"": 5, ""weight_decay"": 0.001}",146.2145538330078,106.8490219116211,125.87022399902344,169.30999145507812,169.5865447998047,166.95887756347656,127.77452850341795,132.4086456298828,-3.276486396789551
