Country,Lag,MAE,RMSE,MAPE
AU,1,2396.4195272034603,2682.646809236226,14.37913163256534
AU,2,2256.539439048648,2476.5367847250104,13.391176859323425
AU,3,1981.012629592542,2186.991836760668,11.560678735373884
AT,1,92.84644201002197,112.82754033075726,1.8279122382116268
AT,2,83.31486808577154,111.59562975798136,1.5110752261279603
AT,3,84.45002805401384,117.56422944930357,1.4617628621409926
BE,1,381.36862969905167,569.0924246976324,2.9067280220633585
BE,2,447.18266511114285,596.0718847124174,3.7495541079291357
BE,3,497.43982548547865,655.905512260222,4.1625221685870715
CA,1,649.0706445856654,728.2751702550872,4.157905769690159
CA,2,933.6862024004749,1037.5616939647323,5.419146765484974
CA,3,914.2159593682031,1018.8078174018522,5.358424841732069
CZ,1,197.77279035445554,231.36889874697613,3.2685907873441202
CZ,2,189.572188372482,236.95925246278975,3.17685411396594
CZ,3,235.18078423413334,260.70173167995443,4.225355872455859
DK,1,438.240859691442,506.26955628448786,8.695773670229567
DK,2,473.3464102883835,572.8875931380898,9.220582848818262
DK,3,437.6707611095739,533.5938414810862,8.600649122031859
FI,1,398.79829214908864,476.2878770495148,9.309632217868396
FI,2,494.1288517151154,574.996902623469,10.98345238874883
FI,3,482.21486777372354,556.985615774671,10.76752967561896
FR,1,1013.0166981432303,1195.9006957528952,2.1643010450597115
FR,2,1047.5853383234098,1246.763868843009,2.248391231317959
FR,3,1061.4694427597933,1232.718522457888,2.258846199051602
DE,1,2151.9199747478424,2390.0082362303765,3.0429102948345346
DE,2,2130.7267050150513,2324.5045700669793,3.0167786508605015
DE,3,2405.9960711797457,2576.0744780174427,3.405931615092128
GR,1,125.9056953954835,185.1338057026661,6.970963893508062
GR,2,128.91726293971436,157.62138801364162,7.6829992414474715
GR,3,122.51931029019295,160.68755375708656,7.981073672451797
HU,1,214.0902426841446,288.02287365810525,7.892652113392357
HU,2,276.6869670383364,342.8079223000867,9.993926275645025
HU,3,259.88066881300097,318.28407315659086,9.579516341259122
IS,1,36.64258322137893,46.19425381027609,12.760696423900054
IS,2,46.09418591733215,58.7124774911252,16.651688386378275
IS,3,47.936302366884455,60.95105071952612,17.77800938484426
IE,1,141.44678272790392,148.63678924199513,5.3993382371661
IE,2,109.0591540739945,128.58931513819422,5.411611809696922
IE,3,112.86773116645671,129.94222212737148,5.689439631089283
IT,1,1484.72157327768,1758.3992445846209,6.816918443937711
IT,2,1479.6971176989568,1685.5042962728235,6.560282715342529
IT,3,1149.8065295507222,1331.6296084390974,5.005383848008363
JP,1,3603.3862787038306,4659.033814654384,2.8056616727066506
JP,2,4122.604912551407,5886.878800370535,2.974370368208671
JP,3,5173.730859705036,6890.274005168175,3.728677600323491
KR,1,1424.932611267029,1980.2421467759455,2.738795882530225
KR,2,1014.9475326616684,1228.345187235853,2.9872839211708313
KR,3,769.8155121728438,917.6702845404717,2.6858925343256397
LU,1,88.74482316222785,106.26455770729905,11.31904503173942
LU,2,74.47658765954858,115.72998137592958,9.180448559579773
LU,3,80.56268340440283,105.816317912423,10.198624717512176
MX,1,826.7343535382768,982.3093654106237,11.018199903319035
MX,2,826.4763222277841,978.7316812468479,10.937457349560233
MX,3,894.5194505899826,1041.9972482258515,11.701292821192304
NL,1,526.5430397588545,648.5593767149668,4.116616813224848
NL,2,555.8483422933102,696.4546564910272,4.300065333303205
NL,3,491.5106675567349,631.2136995433933,3.8598230662586914
NZ,1,221.3076989506101,254.87293708294285,12.290710599008836
NZ,2,217.6879748154989,251.19818035742634,12.069397954087677
NZ,3,230.2147922679006,264.080348506434,12.775570364500588
NO,1,344.518314287234,389.46792602289094,6.550152653035997
NO,2,449.15284712862604,515.9852216313724,8.598170343085954
NO,3,441.7597303044809,524.2167155752119,8.013863014348278
PL,1,557.9292020027907,708.7385851850898,5.4425459607267435
PL,2,618.2824015755639,767.5976441639149,5.63949551380097
PL,3,668.4327098041007,867.2057000090916,5.698957168491839
PT,1,160.29840786024315,337.9814909242033,5.498449333429015
PT,2,170.9118110543346,335.04814756709146,5.712367509071692
