Variant,seed,epoch,val_MAPE
wide64_huber_wd1e3_s15,1,21,6.263661779918436
wide64_huber_wd1e3_s15,1,22,6.465168077386833
wide64_huber_wd1e3_s15,1,23,5.643168399577273
wide64_huber_wd1e3_s15,1,24,6.707559286812659
wide64_huber_wd1e3_s15,1,25,6.671267825678975
wide64_huber_wd1e3_s15,1,26,6.899855173520204
wide64_huber_wd1e3_s15,1,27,6.294405523807653
wide64_huber_wd1e3_s15,1,28,6.579203533157639
wide64_huber_wd1e3_s15,1,29,6.376739072402532
wide64_huber_wd1e3_s15,1,30,6.510063816595005
wide64_huber_wd1e3_s15,1,31,6.569409402235811
wide64_huber_wd1e3_s15,1,32,6.383655474494332
wide64_huber_wd1e3_s15,1,33,6.623861667229572
wide64_huber_wd1e3_s15,1,34,6.789478077243243
wide64_huber_wd1e3_s15,1,35,7.28093776201159
wide64_huber_wd1e3_s15,1,36,7.111898938308681
wide64_huber_wd1e3_s15,1,37,6.533642971500667
wide64_huber_wd1e3_s15,1,38,6.450213850261191
wide64_huber_wd1e3_s15,1,39,6.275480770834251
wide64_huber_wd1e3_s15,1,40,6.65275872196045
wide64_huber_wd1e3_s15,1,41,6.745795527801067
wide64_huber_wd1e3_s15,1,42,6.753945896655009
wide64_huber_wd1e3_s15,1,43,6.39598663818442
wide64_huber_wd1e3_s15,1,44,7.576231726974675
wide64_huber_wd1e3_s15,1,45,7.056374309461252
wide64_huber_wd1e3_s15,1,46,6.974108558473377
wide64_huber_wd1e3_s15,1,47,7.239590083642769
wide64_huber_wd1e3_s15,1,48,6.636291290009622
wide64_huber_wd1e3_s15,1,49,6.270634018229873
wide64_huber_wd1e3_s15,1,50,6.158503387777237
wide64_huber_wd1e3_s15,1,51,6.915015964518603
wide64_huber_wd1e3_s15,1,52,7.043305014650675
wide64_huber_wd1e3_s15,1,53,6.687923705306682
wide64_huber_wd1e3_s15,1,54,6.661695136727305
wide64_huber_wd1e3_s15,1,55,6.671160197032709
wide64_huber_wd1e3_s15,1,56,6.69639633685017
wide64_huber_wd1e3_s15,1,57,6.49093530172206
wide64_huber_wd1e3_s15,1,58,7.190952870982245
wide64_huber_wd1e3_s15,1,59,6.642331744672269
wide64_huber_wd1e3_s15,1,60,6.481245824942432
wide64_huber_wd1e3_s15,1,61,6.399594552560078
wide64_huber_wd1e3_s15,1,62,7.069473135751327
wide64_huber_wd1e3_s15,1,63,7.064141793562917
wide64_huber_wd1e3_s15,1,64,6.644167884219875
wide64_huber_wd1e3_s15,1,65,6.701089472287319
wide64_huber_wd1e3_s15,1,66,6.829611198268277
wide64_huber_wd1e3_s15,1,67,6.055016601168184
wide64_huber_wd1e3_s15,1,68,6.587223113204474
wide64_huber_wd1e3_s15,1,69,6.4014808552704565
wide64_huber_wd1e3_s15,1,70,7.019713996355345
wide64_huber_wd1e3_s15,1,71,6.394335631824399
wide64_huber_wd1e3_s15,1,72,7.2848472117352125
wide64_huber_wd1e3_s15,2,1,15.797573845583454
wide64_huber_wd1e3_s15,2,2,14.069400948434518
wide64_huber_wd1e3_s15,2,3,11.154122687139168
wide64_huber_wd1e3_s15,2,4,9.903597926423588
wide64_huber_wd1e3_s15,2,5,8.387465953768874
wide64_huber_wd1e3_s15,2,6,8.176787951965874
