Variant,seed,best_val_MAPE,test_MAPE,test_RMSE,test_R2
wide64_huber_wd1e3_s15,0,6.493580767876239,14.727772356932482,57.13217965523198,0.9295354221447643
wide64_huber_wd1e3_s15,1,5.602055768186543,13.724287552673218,60.98383628911687,0.91971419802525
wide64_huber_wd1e3_s15,2,5.394173003267165,14.501075722321302,83.31332373667634,0.8501564030578803
wide64_huber_wd1e3_s15,3,6.063595773115387,13.73971821035477,64.71466777447738,0.9095903641405063
wide64_huber_wd1e3_s15,4,5.762218366925468,14.253296774104577,64.52043487671202,0.9101322559036156
wide64_huber_wd1e3_s15,5,5.94722683805112,15.391081553055553,88.76784250100543,0.8298936221357622
wide64_huber_wd1e3_s15,6,6.32898445871017,14.891009250972639,84.40274567750473,0.8462120111286526
wide64_huber_wd1e3_s15,7,6.442394092654066,14.659327940837095,79.81841684058826,0.8624642857648068
wide64_huber_wd1e3_s15,8,5.845289739306798,16.02836878401104,79.873231794867,0.8622753167804876
wide64_huber_wd1e3_s15,9,6.1707461143097255,15.638872571043622,86.87945302360082,0.837054104956384
wide64_huber_wd1e3_s15,10,4.678957317210577,12.67690031704487,62.08448159178203,0.9167900260057563
wide64_huber_wd1e3_s15,11,5.629589004900117,13.75945618040161,67.76164728708079,0.9008763744548105
wide64_huber_wd1e3_s15,12,4.789475750801377,10.738615678813817,50.75665844411817,0.9443845682040359
wide64_huber_wd1e3_s15,13,6.6240366586596195,14.159602222538862,71.35779689191037,0.8900760984877955
wide64_huber_wd1e3_s15,14,6.099416419706159,16.800912835675526,92.84459595358476,0.8139102170887228
wide64_mse_wd1e3_s15,0,6.1977098169308515,14.54495831977124,54.814920717707444,0.9351355337609369
wide64_mse_wd1e3_s15,1,5.6356918372375695,13.565761708113397,60.95152076015856,0.9197992628852316
wide64_mse_wd1e3_s15,2,5.32157319683841,14.871523980437045,84.89015942399602,0.844430675316362
wide64_mse_wd1e3_s15,3,6.285203723742577,14.035050336993073,65.71191848881828,0.9067824763299048
wide64_mse_wd1e3_s15,4,5.800498315782671,15.775194290541672,75.66240535175424,0.8764139205040022
wide64_mse_wd1e3_s15,5,6.299098582846526,16.30784106188535,91.37361731093321,0.8197601138406005
wide64_mse_wd1e3_s15,6,5.553955569285309,14.899825222050769,85.95623970145977,0.8404987522940186
wide64_mse_wd1e3_s15,7,6.265373185476497,14.591025091541795,76.17406702680147,0.8747367845799274
wide64_mse_wd1e3_s15,8,6.572244326815975,16.163928231503597,83.82639329439249,0.8483051526048478
