Model,Variant,N,min_estimate,negative_months,NN_level_corr,NN_growth_corr,Mosley_level_corr,Mosley_growth_corr,Sax_level_corr,Sax_growth_corr,employment_sig_lags_p01,employment_best_abs_corr,employment_best_lag,tuning,val_MAPE,negative_topic_elasticity_share
OLS,signed,216,-26.144007325784003,13,0.3355251472460362,-0.07876004857650334,0.15659822193465706,-0.03074534483355701,0.07482288833193275,-0.018974135428087475,0,0.16775797456420524,-5,,,0.5087719298245614
OLS,positive_part,216,26.167102445822643,0,0.7429435605655563,0.138249724208865,0.9227411852747405,0.6787325490195991,0.7243374243724721,-0.219639490760212,5,-0.4930774212678812,0,,,0.5087719298245614
OLS,absolute,216,25.74612039720468,0,0.7226629908369702,0.11408175287531286,0.9387852229443385,0.7188274903051676,0.7437315513723397,-0.19936600350879533,7,-0.464252683290953,0,,,0.5087719298245614
Ridge,signed,216,16.73358568971172,0,0.8336913628462341,0.7442270892204806,0.5648832177100487,0.010852474887609313,0.46461959703419414,-0.12456726912383331,3,-0.29482113749955463,5,alpha=10,20.805815680451254,0.42105263157894735
Ridge,positive_part,216,26.404825629687764,0,0.7908329713927149,0.38491835504758515,0.932705537757589,0.6704360226322819,0.7287928386820415,-0.2983534982765946,5,-0.5013257913773965,0,alpha=10,20.805815680451254,0.42105263157894735
Ridge,absolute,216,26.218499477311823,0,0.7211788041641027,0.18626012801740888,0.9319103254639789,0.7112730061002991,0.723764915646387,-0.24263415765008176,6,-0.4738596566976192,0,alpha=10,20.805815680451254,0.42105263157894735
Elastic Net,signed,216,-38.38924488816765,26,0.292078639583058,0.0019167763234820467,0.0878654179115822,-0.08243787089176427,0.09443430290224678,0.061182065423969596,1,-0.21773061969969007,4,"alpha=0.0001, l1=0.5",20.754952561863046,0.47368421052631576
Elastic Net,positive_part,216,25.932114896542867,0,0.741657667736414,0.09074810018028329,0.9315420319306391,0.6399419479542325,0.7418126492976893,-0.2511674752182474,6,-0.48812511437902445,0,"alpha=0.0001, l1=0.5",20.754952561863046,0.47368421052631576
Elastic Net,absolute,216,26.121935326286902,0,0.70355941126909,0.08222262172270098,0.9360423212487707,0.6979204741888464,0.7409631894053217,-0.20474717687408517,6,-0.4489745994252032,0,"alpha=0.0001, l1=0.5",20.754952561863046,0.47368421052631576
