Model,Variant,N_quarters,NN_level_corr,NN_growth_corr,Mosley_level_corr,Mosley_growth_corr,Sax_level_corr,Sax_growth_corr
Elastic Net,absolute,72,0.6235473344396879,-0.46696056252554846,0.9308486850192256,0.3286245788372917,0.782926266752393,0.18255943040293163
Elastic Net,positive_part,72,0.6727422882329793,-0.45674455662016955,0.9435702429925229,0.3079075832626556,0.79205464394415,0.044857413634460115
Elastic Net,signed,72,0.38181414188303,0.018746012270690768,0.1882394386182098,-0.05460277374735567,0.13941815299030852,-0.14083111398575654
OLS,absolute,72,0.634932321140699,-0.4447394461046815,0.9314756472223181,0.35251437455365836,0.7830422482958992,0.18197664161702123
OLS,positive_part,72,0.649117321216022,-0.4029974228638868,0.9268625648597524,0.3307521084437948,0.7663347557411717,0.0622177350082316
OLS,signed,72,0.306873271748424,0.12211444757359173,0.24252526997630514,0.05373724470100736,0.10620266845325642,-0.13468544185660633
Ridge,absolute,72,0.6253555902760464,-0.4352702805176964,0.9283152827883363,0.36132907482715815,0.7750604027996217,0.1769397376809387
Ridge,positive_part,72,0.6802544620516047,-0.3641221934763782,0.9465266978328399,0.4050528081806426,0.7956305244843149,0.12607100819078676
Ridge,signed,72,0.7576994075077051,0.46906996320159156,0.7136708311272306,0.014705364220758872,0.6324826992067094,-0.22782671817961364
