Year,Month,NN,Sax,Mosley,date
2004,1,32.769460450799535,28.688237282898,32.9606514484556,2004-01-01
2004,2,21.120594755182218,28.0386032639846,28.4558868950222,2004-02-01
2004,3,16.914270159765035,30.0931395578973,30.2525550930859,2004-03-01
2004,4,24.52372238982709,30.6333424335577,33.7808424765506,2004-04-01
2004,5,28.958315396147153,33.0627543992953,31.6507212929523,2004-05-01
2004,6,33.47412719187114,33.2544075087679,31.6587891196557,2004-06-01
2004,7,42.61992095643007,36.4270251773139,32.9217596441761,2004-07-01
2004,8,38.69098729643013,32.2225893089656,30.4018512590676,2004-08-01
2004,9,32.75353394665452,27.5393104116167,32.6307118488807,2004-09-01
2004,10,54.76866849446803,28.2327981289782,31.766303426661,2004-10-01
2004,11,21.997779643920726,32.8381373540475,30.3444773786476,2004-11-01
2004,12,26.30564704247936,33.8666828966522,28.0724778408197,2004-12-01
2005,1,35.689028994330236,31.4615155398743,32.6671964988913,2005-01-01
2005,2,18.390292630951716,30.4934522754843,32.544889218487,2005-02-01
2005,3,36.49893781541142,33.6500493216966,35.7795726606667,2005-03-01
2005,4,31.467219912829062,32.4918181436384,33.8750117317527,2005-04-01
2005,5,23.450662252943097,35.1788021128944,29.6011765246062,2005-05-01
2005,6,51.15947396200543,34.764156329613,33.2454243669526,2005-06-01
2005,7,23.215809862120683,35.9844842594659,30.0612715531735,2005-07-01
2005,8,45.01211505255855,32.2556477236717,34.9235512406195,2005-08-01
2005,9,39.12587227883081,29.6351244067091,34.2360364309853,2005-09-01
2005,10,32.616898302177674,29.2210080367915,30.9919574982107,2005-10-01
2005,11,23.94352663119118,32.055035311153,31.8481434937687,2005-11-01
2005,12,29.736652609051173,33.1153968434087,30.532259086287,2005-12-01
2006,1,24.828252421246763,35.30346727897,35.013139522378,2006-01-01
2006,2,33.04767010541393,35.0798265185375,34.8342699673328,2006-02-01
2006,3,31.225011745475403,36.9804848612701,38.5993575231929,2006-03-01
2006,4,21.680975311428284,30.0198173238652,36.8786690520013,2006-04-01
2006,5,41.10469835276444,35.947193810547,33.8555136040802,2006-05-01
2006,6,37.329716387097676,34.625655438862,33.6094958619321,2006-06-01
2006,7,37.285209575270564,36.633343669143,31.8792424183594,2006-07-01
2006,8,48.32555223861928,35.4435467782351,31.6968876335872,2006-08-01
2006,9,34.95118435358997,31.4652671580101,31.9955079222751,2006-09-01
2006,10,32.641097940234374,29.807644289955,34.4949787731576,2006-10-01
2006,11,27.450571740308227,32.8944423663793,32.995797175069,2006-11-01
2006,12,38.27719210301319,33.9464427806876,32.2942728210963,2006-12-01
2007,1,31.24883934864586,36.5246980658169,33.9689213714052,2007-01-01
2007,2,23.20273147152054,33.855521778791,37.4531488693721,2007-02-01
2007,3,32.5954912913136,37.6945684492484,36.9922024193878,2007-03-01
2007,4,34.859029148432825,33.5808743781561,36.6768488716377,2007-04-01
2007,5,37.09813277039386,38.7053590596694,35.7294986670825,2007-05-01
2007,6,41.028535560787255,36.9602582926724,35.5832246210842,2007-06-01
2007,7,46.18713773893779,38.8007442801057,36.765081838147,2007-07-01
2007,8,37.36447969788222,36.7338717853361,37.4714265283471,2007-08-01
2007,9,38.503989914745304,32.8273402925849,33.7704645176445,2007-09-01
2007,10,35.008801967812374,32.3450929487437,36.3843020107406,2007-10-01
2007,11,42.55263489102448,33.890640006747,35.8187776702519,2007-11-01
2007,12,28.104899763845907,35.8357342274704,31.1408061802414,2007-12-01
2008,1,39.616676557417925,37.3624807260872,39.3632546599204,2008-01-01
2008,2,32.618296595515915,36.745148993141,33.4860654458338,2008-02-01
2008,3,37.73340222332973,39.1165915125153,40.2129505181045,2008-03-01
2008,4,34.215409502327034,35.6159967768006,37.8504984863919,2008-04-01
2008,5,46.00706465720699,37.6091787237613,36.8427044521292,2008-05-01
2008,6,39.53251330245117,40.832556558926,39.5811440722983,2008-06-01
2008,7,39.444919779913334,39.7222103455026,37.5198452777637,2008-07-01
2008,8,41.30924354973141,38.2395986574368,35.5720366523734,2008-08-01
2008,9,37.57682554842014,33.9390601023044,37.1794671005526,2008-09-01
2008,10,38.436355888745844,35.7880045091079,42.1945448477368,2008-10-01
2008,11,32.573822373238244,36.9296951091067,34.0869254179271,2008-11-01
2008,12,30.4459188040393,37.6099267676472,35.6210118513054,2008-12-01
2009,1,31.670771444690057,34.5038790513281,35.2489393544582,2009-01-01
2009,2,26.163239907987627,35.6169067082288,36.8706860077405,2009-02-01
