Year,Month,weight,annual_weight,estimate,date,Model,Variant
2004,1,0.006199422705593335,0.048909827976887,47.51898017367329,2004-01-01,OLS,signed
2004,2,0.0024308643024302393,0.048909827976887,18.6327337362967,2004-02-01,OLS,signed
2004,3,0.0021228029700414235,0.048909827976887,16.27142349157796,2004-03-01,OLS,signed
2004,4,0.007312289936466133,0.048909827976887,56.04918022473013,2004-04-01,OLS,signed
2004,5,0.004402735540556306,0.048909827976887,33.747255639281086,2004-05-01,OLS,signed
2004,6,0.0013271108630525867,0.048909827976887,10.172391492640875,2004-06-01,OLS,signed
2004,7,0.002963290562837625,0.048909827976887,22.71381581663536,2004-07-01,OLS,signed
2004,8,0.004265390842634428,0.048909827976887,32.69449955416683,2004-08-01,OLS,signed
2004,9,0.007689208033976826,0.048909827976887,58.938282073931276,2004-09-01,OLS,signed
2004,10,-0.001814252349844829,0.048909827976887,-13.906362823837396,2004-10-01,OLS,signed
2004,11,0.006979266217891071,0.048909827976887,53.49653165858969,2004-11-01,OLS,signed
2004,12,0.005031698351251853,0.048909827976887,38.568296686289194,2004-12-01,OLS,signed
2005,1,0.003668999347499005,0.048909827976887005,29.27906961619659,2005-01-01,OLS,signed
2005,2,0.00265838046843142,0.048909827976887005,21.214205681066005,2005-02-01,OLS,signed
2005,3,0.002677145652283642,0.048909827976887005,21.3639541744105,2005-03-01,OLS,signed
2005,4,0.0012152377027913538,0.048909827976887005,9.697747513776172,2005-04-01,OLS,signed
2005,5,0.0073162717469289025,0.048909827976887005,58.384755493446335,2005-05-01,OLS,signed
2005,6,0.0044202682180956646,0.048909827976887005,35.27428833371285,2005-06-01,OLS,signed
2005,7,0.004601607628976885,0.048909827976887005,36.72139931207008,2005-07-01,OLS,signed
2005,8,0.00036990087199979945,0.048909827976887005,2.9518548128814808,2005-08-01,OLS,signed
2005,9,0.006002962257901417,0.048909827976887005,47.90438296815312,2005-09-01,OLS,signed
2005,10,0.007284018330824064,0.048909827976887005,58.12736923467324,2005-10-01,OLS,signed
2005,11,0.005870654483658411,0.048909827976887005,46.84855052831755,2005-11-01,OLS,signed
2005,12,0.002824381267496438,0.048909827976887005,22.53891263569711,2005-12-01,OLS,signed
2006,1,0.0018399415277178962,0.04890982797688699,15.35410957580206,2006-01-01,OLS,signed
2006,2,0.00372309185842219,0.04890982797688699,31.068791857691824,2006-02-01,OLS,signed
2006,3,0.0005812284897930313,0.04890982797688699,4.85028778709561,2006-03-01,OLS,signed
2006,4,0.0012074710612342832,0.04890982797688699,10.07621313205325,2006-04-01,OLS,signed
2006,5,0.005928270250770116,0.04890982797688699,49.47076287700801,2006-05-01,OLS,signed
2006,6,0.005710898745957543,0.04890982797688699,47.65682158959719,2006-06-01,OLS,signed
2006,7,0.00836116226512006,0.04890982797688699,69.77297901360154,2006-07-01,OLS,signed
2006,8,0.004527042112260669,0.04890982797688699,37.777668256737094,2006-08-01,OLS,signed
2006,9,0.00545272167346224,0.04890982797688699,45.50236233024813,2006-09-01,OLS,signed
2006,10,0.0053033949997404305,0.04890982797688699,44.25624767042062,2006-10-01,OLS,signed
2006,11,0.004059611823651658,0.04890982797688699,33.87701393580699,2006-11-01,OLS,signed
2006,12,0.002214993168756878,0.04890982797688699,18.483874248399758,2006-12-01,OLS,signed
2007,1,0.003456165310546244,0.04890982797688703,30.2268690984593,2007-01-01,OLS,signed
2007,2,-0.00017436923428977482,0.04890982797688703,-1.524995347760893,2007-02-01,OLS,signed
2007,3,0.0035618526627608504,0.04890982797688703,31.151187663605935,2007-03-01,OLS,signed
2007,4,0.0008170097347548525,0.04890982797688703,7.1453892061368895,2007-04-01,OLS,signed
2007,5,0.0033945682665559667,0.04890982797688703,29.688154766750472,2007-05-01,OLS,signed
2007,6,0.005163295641310123,0.04890982797688703,45.157059180673215,2007-06-01,OLS,signed
2007,7,0.004227031861199553,0.04890982797688703,36.968700065825765,2007-07-01,OLS,signed
2007,8,0.005936335546185962,0.04890982797688703,51.91789783074182,2007-08-01,OLS,signed
2007,9,0.006774918348604412,0.04890982797688703,59.2519603883327,2007-09-01,OLS,signed
2007,10,0.007297130640209128,0.04890982797688703,63.819115359703964,2007-10-01,OLS,signed
2007,11,0.004348164433296001,0.04890982797688703,38.028099160292214,2007-11-01,OLS,signed
2007,12,0.0041077247657537175,0.04890982797688703,35.92526619258066,2007-12-01,OLS,signed
2008,1,0.0036639882718524975,0.04890982797688699,33.674234413417864,2008-01-01,OLS,signed
2008,2,0.0021203522479137115,0.04890982797688699,19.48729999595868,2008-02-01,OLS,signed
