Year,Month,NN,Sax,Mosley,date
2004,1,33.36443969373398,28.688237282898,32.9606514484556,2004-01-01
2004,2,21.310975014733415,28.0386032639846,28.4558868950222,2004-02-01
2004,3,18.620563197879193,30.0931395578973,30.2525550930859,2004-03-01
2004,4,27.63117277898809,30.6333424335577,33.7808424765506,2004-04-01
2004,5,24.862094985270193,33.0627543992953,31.6507212929523,2004-05-01
2004,6,37.455580188333556,33.2544075087679,31.6587891196557,2004-06-01
2004,7,44.695955808168996,36.4270251773139,32.9217596441761,2004-07-01
2004,8,42.82892343654138,32.2225893089656,30.4018512590676,2004-08-01
2004,9,28.85641915497542,27.5393104116167,32.6307118488807,2004-09-01
2004,10,44.00645845137352,28.2327981289782,31.766303426661,2004-10-01
2004,11,23.788569961450715,32.8381373540475,30.3444773786476,2004-11-01
2004,12,27.47587505252655,33.8666828966522,28.0724778408197,2004-12-01
2005,1,35.083209079371606,31.4615155398743,32.6671964988913,2005-01-01
2005,2,21.755808430791426,30.4934522754843,32.544889218487,2005-02-01
2005,3,38.62835531337435,33.6500493216966,35.7795726606667,2005-03-01
2005,4,34.75707177630487,32.4918181436384,33.8750117317527,2005-04-01
2005,5,19.911102541398147,35.1788021128944,29.6011765246062,2005-05-01
2005,6,50.309445094998395,34.764156329613,33.2454243669526,2005-06-01
2005,7,26.029080669355338,35.9844842594659,30.0612715531735,2005-07-01
2005,8,34.75425084073179,32.2556477236717,34.9235512406195,2005-08-01
2005,9,37.53994867058343,29.6351244067091,34.2360364309853,2005-09-01
2005,10,34.03984092331919,29.2210080367915,30.9919574982107,2005-10-01
2005,11,26.152529651265226,32.055035311153,31.8481434937687,2005-11-01
2005,12,31.345847312907264,33.1153968434087,30.532259086287,2005-12-01
2006,1,22.654134968797557,35.30346727897,35.013139522378,2006-01-01
2006,2,38.12363121570647,35.0798265185375,34.8342699673328,2006-02-01
2006,3,24.77244509633046,36.9804848612701,38.5993575231929,2006-03-01
2006,4,24.533774009975684,30.0198173238652,36.8786690520013,2006-04-01
2006,5,39.33531686979376,35.947193810547,33.8555136040802,2006-05-01
2006,6,39.549860755907936,34.625655438862,33.6094958619321,2006-06-01
2006,7,37.51837103128208,36.633343669143,31.8792424183594,2006-07-01
2006,8,50.365666250135575,35.4435467782351,31.6968876335872,2006-08-01
2006,9,32.80777535153784,31.4652671580101,31.9955079222751,2006-09-01
2006,10,31.245218361860665,29.807644289955,34.4949787731576,2006-10-01
2006,11,30.74483331390625,32.8944423663793,32.995797175069,2006-11-01
2006,12,36.49610504922778,33.9464427806876,32.2942728210963,2006-12-01
2007,1,31.01745510429987,36.5246980658169,33.9689213714052,2007-01-01
2007,2,20.23784174013685,33.855521778791,37.4531488693721,2007-02-01
2007,3,33.38001587338915,37.6945684492484,36.9922024193878,2007-03-01
2007,4,42.15253648820634,33.5808743781561,36.6768488716377,2007-04-01
2007,5,34.821563430412525,38.7053590596694,35.7294986670825,2007-05-01
2007,6,42.59306118173376,36.9602582926724,35.5832246210842,2007-06-01
2007,7,49.253434908243285,38.8007442801057,36.765081838147,2007-07-01
2007,8,36.412713989449706,36.7338717853361,37.4714265283471,2007-08-01
2007,9,36.4161694522372,32.8273402925849,33.7704645176445,2007-09-01
2007,10,34.9046566041246,32.3450929487437,36.3843020107406,2007-10-01
2007,11,40.92027297202664,33.890640006747,35.8187776702519,2007-11-01
2007,12,25.64498182108215,35.8357342274704,31.1408061802414,2007-12-01
2008,1,36.0579091766359,37.3624807260872,39.3632546599204,2008-01-01
2008,2,35.18683363575686,36.745148993141,33.4860654458338,2008-02-01
2008,3,36.21569788602132,39.1165915125153,40.2129505181045,2008-03-01
2008,4,38.03397050709662,35.6159967768006,37.8504984863919,2008-04-01
