Year,Month,NN,Sax,Mosley,date
2004,1,33.158403354353936,28.688237282898,32.9606514484556,2004-01-01
2004,2,20.898422787423268,28.0386032639846,28.4558868950222,2004-02-01
2004,3,15.74356702474322,30.0931395578973,30.2525550930859,2004-03-01
2004,4,24.067845897414937,30.6333424335577,33.7808424765506,2004-04-01
2004,5,28.105847525974173,33.0627543992953,31.6507212929523,2004-05-01
2004,6,33.82776019746934,33.2544075087679,31.6587891196557,2004-06-01
2004,7,43.01565739410197,36.4270251773139,32.9217596441761,2004-07-01
2004,8,39.541643353542945,32.2225893089656,30.4018512590676,2004-08-01
2004,9,32.38089506965533,27.5393104116167,32.6307118488807,2004-09-01
2004,10,54.62685064659067,28.2327981289782,31.766303426661,2004-10-01
2004,11,22.74327477845556,32.8381373540475,30.3444773786476,2004-11-01
2004,12,26.78685969424964,33.8666828966522,28.0724778408197,2004-12-01
2005,1,35.49674251624055,31.4615155398743,32.6671964988913,2005-01-01
2005,2,17.915549141082895,30.4934522754843,32.544889218487,2005-02-01
2005,3,35.443261380595175,33.6500493216966,35.7795726606667,2005-03-01
2005,4,30.90867414027553,32.4918181436384,33.8750117317527,2005-04-01
2005,5,23.20237479868106,35.1788021128944,29.6011765246062,2005-05-01
2005,6,51.002981491870216,34.764156329613,33.2454243669526,2005-06-01
2005,7,24.029529086570633,35.9844842594659,30.0612715531735,2005-07-01
2005,8,45.679502807281445,32.2556477236717,34.9235512406195,2005-08-01
2005,9,39.63392519244693,29.6351244067091,34.2360364309853,2005-09-01
2005,10,33.09693705948468,29.2210080367915,30.9919574982107,2005-10-01
2005,11,24.28523308471889,32.055035311153,31.8481434937687,2005-11-01
2005,12,29.611779605153064,33.1153968434087,30.532259086287,2005-12-01
2006,1,24.45111886473996,35.30346727897,35.013139522378,2006-01-01
2006,2,32.62228636797442,35.0798265185375,34.8342699673328,2006-02-01
2006,3,30.15538778512665,36.9804848612701,38.5993575231929,2006-03-01
2006,4,20.188495879842467,30.0198173238652,36.8786690520013,2006-04-01
2006,5,41.10853992493192,35.947193810547,33.8555136040802,2006-05-01
2006,6,37.726210080840744,34.625655438862,33.6094958619321,2006-06-01
2006,7,38.090524403190265,36.633343669143,31.8792424183594,2006-07-01
2006,8,49.005043264774066,35.4435467782351,31.6968876335872,2006-08-01
2006,9,34.78109551516146,31.4652671580101,31.9955079222751,2006-09-01
2006,10,33.15847582821419,29.807644289955,34.4949787731576,2006-10-01
2006,11,28.46063175115434,32.8944423663793,32.995797175069,2006-11-01
2006,12,38.39932260851157,33.9464427806876,32.2942728210963,2006-12-01
2007,1,31.235956138342708,36.5246980658169,33.9689213714052,2007-01-01
2007,2,22.516730522039712,33.855521778791,37.4531488693721,2007-02-01
2007,3,31.436742139660847,37.6945684492484,36.9922024193878,2007-03-01
2007,4,34.171947291050394,33.5808743781561,36.6768488716377,2007-04-01
2007,5,37.30597794179891,38.7053590596694,35.7294986670825,2007-05-01
2007,6,41.251514728641645,36.9602582926724,35.5832246210842,2007-06-01
2007,7,46.54806878127308,38.8007442801057,36.765081838147,2007-07-01
2007,8,37.981887012175505,36.7338717853361,37.4714265283471,2007-08-01
2007,9,38.55495492278335,32.8273402925849,33.7704645176445,2007-09-01
2007,10,35.52281314105119,32.3450929487437,36.3843020107406,2007-10-01
2007,11,42.792943167000935,33.890640006747,35.8187776702519,2007-11-01
2007,12,28.435167779523756,35.8357342274704,31.1408061802414,2007-12-01
2008,1,38.58495108831129,37.3624807260872,39.3632546599204,2008-01-01
2008,2,31.50042803816854,36.745148993141,33.4860654458338,2008-02-01
2008,3,37.012935328078285,39.1165915125153,40.2129505181045,2008-03-01
2008,4,33.16445986928809,35.6159967768006,37.8504984863919,2008-04-01
2008,5,45.642973716388326,37.6091787237613,36.8427044521292,2008-05-01
2008,6,40.03163823665243,40.832556558926,39.5811440722983,2008-06-01
2008,7,40.33698410155474,39.7222103455026,37.5198452777637,2008-07-01
2008,8,41.40698986195089,38.2395986574368,35.5720366523734,2008-08-01
2008,9,38.33149221059246,33.9390601023044,37.1794671005526,2008-09-01
2008,10,39.21392140449449,35.7880045091079,42.1945448477368,2008-10-01
2008,11,33.43162257925471,36.9296951091067,34.0869254179271,2008-11-01
2008,12,30.852052347602807,37.6099267676472,35.6210118513054,2008-12-01
2009,1,31.57242758177018,34.5038790513281,35.2489393544582,2009-01-01
2009,2,25.876553512096347,35.6169067082288,36.8706860077405,2009-02-01
2009,3,33.008499970285214,37.0941334089327,39.0561565142298,2009-03-01
2009,4,34.83914341653635,38.217646229763,38.5499542854467,2009-04-01
2009,5,42.54157895950697,37.7733250845989,36.5088271719195,2009-05-01
2009,6,41.63047020556289,40.2172634452594,38.6856689638381,2009-06-01
2009,7,31.664849056382224,41.3097383344391,37.2093057707204,2009-07-01
2009,8,43.64621520951194,40.6980537909665,38.2141263957071,2009-08-01
2009,9,44.253786681890645,33.5997409307427,35.8982124925994,2009-09-01
2009,10,34.142005662676965,31.6618434869577,39.0599893575749,2009-10-01
2009,11,39.62004516885878,37.6063434647557,35.9400016408502,2009-11-01
2009,12,42.52562540326346,37.0223268923694,34.0793328732573,2009-12-01
2010,1,33.65745308852423,37.3040469306713,37.3324562217654,2010-01-01
2010,2,31.90190437429837,35.5167671637215,37.7185865053814,2010-02-01
2010,3,35.81118130447945,37.7073723116369,43.8650382103662,2010-03-01
2010,4,34.6316618548633,35.478404420193,42.4547292761795,2010-04-01
2010,5,43.77747920131941,38.4418559157215,37.9212417405837,2010-05-01
2010,6,37.905969801252795,41.9536026516187,37.3294387953287,2010-06-01
2010,7,32.10795188990304,43.1959120614222,36.5611825537783,2010-07-01
2010,8,38.12478145067668,39.9343564538418,35.9587758287146,2010-08-01
2010,9,45.86398838587019,32.7736780022943,33.3616731436752,2010-09-01
2010,10,38.10444138809219,33.7926738822277,34.3210838547451,2010-10-01
2010,11,37.84240007957731,33.8617637204632,36.323907300291,2010-11-01
2010,12,34.979369071602996,34.748148376648,31.560468459651,2010-12-01
2011,1,31.97533730561231,38.82756974914,39.8456401814422,2011-01-01
2011,2,31.21272000976307,36.3042847743038,38.1499058115584,2011-02-01
2011,3,39.49686559412576,39.8842644956956,43.4273188213024,2011-03-01
2011,4,34.01105425956152,36.3475773622169,41.0401340500366,2011-04-01
2011,5,43.18474674005683,38.0047273701718,38.0567237299561,2011-05-01
2011,6,39.71112647585234,40.8768531393659,38.4856959971162,2011-06-01
2011,7,37.361536620485275,45.8296516401783,37.7637950698583,2011-07-01
2011,8,41.40437072435294,38.9519616896249,37.7962369281492,2011-08-01
2011,9,47.54316865453464,33.5801858675042,35.4779181051565,2011-09-01
2011,10,36.054420595112724,34.287770858914,36.6412974380226,2011-10-01
2011,11,37.81923493761599,35.7832906975031,35.6159709688511,2011-11-01
2011,12,35.751090991714655,36.8475352641696,33.2250358073384,2011-12-01
2012,1,30.012900806804417,38.3322423380927,40.3176817337952,2012-01-01
2012,2,36.22218092861609,37.849118334681,40.7940533754154,2012-02-01
2012,3,39.655906390949276,37.9967734699162,39.7297014335373,2012-03-01
2012,4,37.39704866655079,37.9247616326346,38.657801840876,2012-04-01
2012,5,39.98457603055146,39.6361796464693,39.6642533244553,2012-05-01
2012,6,38.3045247251629,44.054969566281,40.4733220112585,2012-06-01
2012,7,36.47288125234258,44.6772384463298,36.9580012999513,2012-07-01
2012,8,38.526425363763344,38.2830406023781,37.3302533538792,2012-08-01
2012,9,43.712467676040966,33.1110943666381,37.548880461094,2012-09-01
2012,10,40.84810779322817,34.30355280596,37.8159263528314,2012-10-01
2012,11,37.877883370427504,32.7110470730984,33.4829459068017,2012-11-01
2012,12,35.80550367446059,35.9403883964189,32.0475855850027,2012-12-01
2013,1,39.28755497908354,38.6598074655354,38.9376973635049,2013-01-01
2013,2,35.05607444792131,38.482854913421,39.6320176398373,2013-02-01
2013,3,33.81700290161753,38.9224580300009,39.0331014104391,2013-03-01
2013,4,34.963271743009564,37.6740779868615,40.1145563875472,2013-04-01
2013,5,37.66755173651053,40.2919060960009,40.1772863496426,2013-05-01
2013,6,37.35802405896068,44.9133973922323,39.6177304571196,2013-06-01
2013,7,39.47317490478947,44.2024921071675,39.0005855114321,2013-07-01
2013,8,42.9488068467017,43.4207795351011,39.7265644463031,2013-08-01
2013,9,45.56803034828388,35.4384949539802,38.1497664012638,2013-09-01
2013,10,41.31361424651223,32.408200446948,38.7856571306215,2013-10-01
2013,11,42.163345432152994,36.9096909339997,38.7432044559623,2013-11-01
2013,12,38.66077252610658,36.9530643104017,36.3590566179765,2013-12-01
2014,1,35.89729615240108,36.9706561174853,41.1461640241047,2014-01-01
2014,2,35.03503588777433,40.5507147863867,43.5595357498045,2014-02-01
2014,3,37.57444687354378,39.1688663366842,40.333382756249,2014-03-01
2014,4,42.48401021579186,40.0036708920944,42.6719933564589,2014-04-01
2014,5,42.65842584265054,41.4698345946414,39.8435210040486,2014-05-01
2014,6,37.983371432479125,46.1984845714102,39.4011763106138,2014-06-01
2014,7,45.51400144665784,46.8767165086491,42.6564183389162,2014-07-01
2014,8,43.276574010169185,45.246495148809,39.9498938636086,2014-08-01
2014,9,41.27981971857598,36.2432135115929,40.7307648665664,2014-09-01
2014,10,44.157657750691094,34.3308299240178,39.2466831726946,2014-10-01
