Config,NN_MAPE,OLS_MAPE
LagRD,25.58,37.97
Macros,15.88,9.16
AGT,15.62,22.29
MGT,16.79,22.19
AGTwRD,14.84,22.3
MGTwRD,15.28,22.19
AllVar,14.76,22.26
