Year,Month,NN_alldata,Sax,Mosley
2004,1,39.67251087551034,28.688237282898,32.9606514484556
2004,2,15.15416175718973,28.0386032639846,28.4558868950222
2004,3,31.199176823824732,30.0931395578973,30.2525550930859
2004,4,-22.51073307013579,30.6333424335577,33.7808424765506
2004,5,20.3035842268943,33.0627543992953,31.6507212929523
2004,6,89.46885976350859,33.2544075087679,31.6587891196557
2004,7,97.09903616567836,36.4270251773139,32.9217596441761
2004,8,85.07778324913913,32.2225893089656,30.4018512590676
2004,9,-26.04933461885699,27.5393104116167,32.6307118488807
2004,10,60.36301554498783,28.2327981289782,31.766303426661
2004,11,-35.97982214984241,32.8381373540475,30.3444773786476
2004,12,21.09878915607717,33.8666828966522,28.0724778408197
2005,1,53.779547168686356,31.4615155398743,32.6671964988913
2005,2,-5.790060492220575,30.4934522754843,32.544889218487
2005,3,94.16598190021742,33.6500493216966,35.7795726606667
2005,4,76.66063859232735,32.4918181436384,33.8750117317527
2005,5,-18.035392294019548,35.1788021128944,29.6011765246062
2005,6,134.39342498856024,34.764156329613,33.2454243669526
2005,7,-18.180697623332758,35.9844842594659,30.0612715531735
2005,8,-58.44974567652563,32.2556477236717,34.9235512406195
2005,9,15.710128654273525,29.6351244067091,34.2360364309853
2005,10,21.651089292890585,29.2210080367915,30.9919574982107
2005,11,6.786482299348611,32.055035311153,31.8481434937687
2005,12,87.61509349419548,33.1153968434087,30.532259086287
2006,1,13.932130704359352,35.30346727897,35.013139522378
2006,2,71.5163483403776,35.0798265185375,34.8342699673328
2006,3,6.078606549002551,36.9804848612701,38.5993575231929
2006,4,41.48831301631281,30.0198173238652,36.8786690520013
2006,5,66.13463921084231,35.947193810547,33.8555136040802
2006,6,53.17447545906841,34.625655438862,33.6094958619321
2006,7,-10.960348193838419,36.633343669143,31.8792424183594
2006,8,117.79520563816389,35.4435467782351,31.6968876335872
2006,9,13.683015799219095,31.4652671580101,31.9955079222751
2006,10,-23.11133502698999,29.807644289955,34.4949787731576
2006,11,2.304933634109984,32.8944423663793,32.995797175069
2006,12,56.1111471438345,33.9464427806876,32.2942728210963
2007,1,32.31941567508152,36.5246980658169,33.9689213714052
2007,2,-54.419064112699765,33.855521778791,37.4531488693721
2007,3,54.965877977139684,37.6945684492484,36.9922024193878
2007,4,105.94915133363183,33.5808743781561,36.6768488716377
2007,5,42.71955171598792,38.7053590596694,35.7294986670825
2007,6,71.11203055059485,36.9602582926724,35.5832246210842
2007,7,98.54476417338002,38.8007442801057,36.765081838147
2007,8,1.1511651358105561,36.7338717853361,37.4714265283471
2007,9,21.328561095177463,32.8273402925849,33.7704645176445
2007,10,-24.531436303433832,32.3450929487437,36.3843020107406
2007,11,84.9540265945207,33.890640006747,35.8187776702519
