Model,DM_vs_RW,p,n
LagRD,-1.847,0.078,23
Macros,-1.466,0.157,23
AGT,1.231,0.231,23
MGT,0.237,0.815,23
AGTwRD,0.027,0.979,23
MGTwRD,-1.085,0.29,23
AllVar,-1.402,0.175,23
UMIDAS,1.654,0.112,23
MIDAS,1.644,0.114,23
AR1,-1.87,0.075,23
