Year,Month,NN_temporal,Sax,Mosley
2004,1,29.530291542666095,28.688237282898,32.9606514484556
2004,2,34.26777958212493,28.0386032639846,28.4558868950222
2004,3,56.38778054488012,30.0931395578973,30.2525550930859
2004,4,40.054438367745945,30.6333424335577,33.7808424765506
2004,5,44.75217444281614,33.0627543992953,31.6507212929523
2004,6,31.552402544081946,33.2544075087679,31.6587891196557
2004,7,22.69427681279431,36.4270251773139,32.9217596441761
2004,8,20.091767986637397,32.2225893089656,30.4018512590676
2004,9,28.231029044275342,27.5393104116167,32.6307118488807
2004,10,21.849375289099015,28.2327981289782,31.766303426661
2004,11,27.21780571119854,32.8381373540475,30.3444773786476
2004,12,18.267905855655187,33.8666828966522,28.0724778408197
2005,1,28.9074770593341,31.4615155398743,32.6671964988913
2005,2,47.287869668983355,30.4934522754843,32.544889218487
2005,3,45.11436818399419,33.6500493216966,35.7795726606667
2005,4,39.631535252150265,32.4918181436384,33.8750117317527
2005,5,34.524268362742745,35.1788021128944,29.6011765246062
2005,6,28.24450118418293,34.764156329613,33.2454243669526
2005,7,28.392408417308804,35.9844842594659,30.0612715531735
2005,8,21.657486732328383,32.2556477236717,34.9235512406195
2005,9,15.042599777230718,29.6351244067091,34.2360364309853
2005,10,27.52332961141335,29.2210080367915,30.9919574982107
2005,11,40.681336593778305,32.055035311153,31.8481434937687
2005,12,33.29930946095392,33.1153968434087,30.532259086287
2006,1,51.60725561746114,35.30346727897,35.013139522378
2006,2,39.845181786237674,35.0798265185375,34.8342699673328
2006,3,57.43050675976946,36.9804848612701,38.5993575231929
2006,4,68.48843770268216,30.0198173238652,36.8786690520013
2006,5,33.407512986278796,35.947193810547,33.8555136040802
2006,6,34.790219182386004,34.625655438862,33.6094958619321
2006,7,17.25790793164878,36.633343669143,31.8792424183594
2006,8,13.13906771164802,35.4435467782351,31.6968876335872
2006,9,23.12839829915955,31.4652671580101,31.9955079222751
2006,10,24.29176561450946,29.807644289955,34.4949787731576
2006,11,24.692374950762883,32.8944423663793,32.995797175069
2006,12,20.06850373191817,33.9464427806876,32.2942728210963
2007,1,29.577215905292324,36.5246980658169,33.9689213714052
2007,2,50.998511895694755,33.855521778791,37.4531488693721
2007,3,50.85660210035708,37.6945684492484,36.9922024193878
2007,4,52.04176859034269,33.5808743781561,36.6768488716377
2007,5,35.65822300325834,38.7053590596694,35.7294986670825
2007,6,30.3359765937372,36.9602582926724,35.5832246210842
2007,7,29.542384273428766,38.8007442801057,36.765081838147
2007,8,31.323106769340434,36.7338717853361,37.4714265283471
2007,9,30.9359910070557,32.8273402925849,33.7704645176445
2007,10,24.931280132297495,32.3450929487437,36.3843020107406
2007,11,30.966743000666746,33.890640006747,35.8187776702519
2007,12,30.586900293870475,35.8357342274704,31.1408061802414
2008,1,38.40136749123479,37.3624807260872,39.3632546599204
2008,2,40.56547340828476,36.745148993141,33.4860654458338
2008,3,45.57922645201508,39.1165915125153,40.2129505181045
2008,4,53.78122438155257,35.6159967768006,37.8504984863919
2008,5,48.28566430778758,37.6091787237613,36.8427044521292
2008,6,35.92639616940079,40.832556558926,39.5811440722983
2008,7,31.789438131604307,39.7222103455026,37.5198452777637
2008,8,32.66487318242111,38.2395986574368,35.5720366523734
2008,9,29.09846131294994,33.9390601023044,37.1794671005526
2008,10,31.191072478171574,35.7880045091079,42.1945448477368
