,LagRD,Macros,AGT,MGT,AGTwRD,MGTwRD,AllVar
LagRD,,2.443806610704082,4.863208720115205,4.681776261468746,4.751922306952887,4.646146273845609,4.746851641583541
Macros,-2.443806610704082,,3.0220546111521402,2.7598922833091417,3.0000324358796395,2.715758250929967,2.885299469306664
AGT,-4.863208720115205,-3.0220546111521402,,-2.704921643617361,-1.4665148850999856,-3.731978751216521,-3.8114827154360835
MGT,-4.681776261468746,-2.7598922833091417,2.704921643617361,,0.8080007262624148,-1.0623900169700753,0.9890025694466891
AGTwRD,-4.751922306952887,-3.0000324358796395,1.4665148850999856,-0.8080007262624148,,-1.3786959905361955,-0.21560846671807554
MGTwRD,-4.646146273845609,-2.715758250929967,3.731978751216521,1.0623900169700753,1.3786959905361955,,2.503193236997561
AllVar,-4.746851641583541,-2.885299469306664,3.8114827154360835,-0.9890025694466891,0.21560846671807554,-2.503193236997561,
