Method,Peak |corr|,Peak corr,Peak lag (months),corr at lag0,# sig lags (of 25),N,band
NN-elasticity,0.2851986284444376,-0.2851986284444376,-12,-0.2361844951777063,10,167,0.1516693535766908
Chow-Lin (Sax),0.4764665318393561,0.4764665318393561,-12,0.46245419325871584,13,167,0.1516693535766908
Sparse (Mosley),0.31833884712254373,-0.31833884712254373,-5,-0.1636129626945024,11,167,0.1516693535766908
