Model,MAPE,RMSE,R2,OOSR2_RW
NN_LagRD,25.577,181.321,0.29,-85.849
NN_Macros,15.876,72.081,0.888,-12.725
NN_AGT,15.62,79.301,0.864,-15.612
NN_MGT,16.791,86.072,0.84,-18.57
NN_AGTwRD,14.838,69.326,0.896,-11.696
NN_MGTwRD,15.277,71.85,0.889,-12.637
NN_AllVar,14.76,69.214,0.897,-11.655
RW,4.795,19.456,0.992,0.0
AR1,2.916,6.975,0.999,0.871
HistMean,27.29,113.683,0.721,-33.14
UMIDAS,31.92,145.449,0.543,-54.885
MIDAS,31.197,140.731,0.572,-51.318
