,LagRD,Macros,AGT,MGT,AGTwRD,MGTwRD,AllVar
LagRD,,0.01590651699777812,3.3502370291316197e-06,7.190064476692015e-06,5.363397771018796e-06,8.335511303636522e-06,5.478749492970891e-06
Macros,0.01590651699777812,,0.0030373047231946337,0.006637990384539716,0.0032498213784204477,0.007533708654555271,0.004595931164892653
AGT,3.3502370291316197e-06,0.0030373047231946337,,0.007769787727979649,0.14497986673031749,0.0002853636554196459,0.00021430187438253867
MGT,7.190064476692015e-06,0.006637990384539716,0.007769787727979649,,0.42060104310519875,0.2900746733841659,0.32454241257736616
AGTwRD,5.363397771018796e-06,0.0032498213784204477,0.14497986673031749,0.42060104310519875,,0.17041211003331425,0.829638843201193
MGTwRD,8.335511303636522e-06,0.007533708654555271,0.0002853636554196459,0.2900746733841659,0.17041211003331425,,0.013576705337898565
AllVar,5.478749492970891e-06,0.004595931164892653,0.00021430187438253867,0.32454241257736616,0.829638843201193,0.013576705337898565,
