Config,NN_MAPE,OLS_MAPE,NN_R2,OLS_R2
LagRD,25.577,37.969,0.29,-0.878
Macros,15.876,9.156,0.888,0.955
AGT,15.62,22.29,0.864,0.216
MGT,16.791,22.188,0.84,0.227
AGTwRD,14.838,22.297,0.896,0.216
MGTwRD,15.277,22.189,0.889,0.228
AllVar,14.76,22.263,0.897,0.221
