split,target,N,Mosley_lvl,Mosley_gr,Sax_lvl,Sax_gr
random,level,216,0.8819676957832931,0.5081556275323994,0.7245002179164952,-0.13691484843361
random,logstd_country,216,0.21956888799467594,-0.05043800147241596,0.21586322746264208,0.036072867603596015
temporal,level,216,0.8989318943293816,0.5066180742956242,0.7217302005190801,-0.1608004812409022
temporal,logstd_country,216,0.5228644026136122,0.21459309150391967,0.37349834179958796,0.06396161791340998
alldata,level,216,0.8445551566482565,0.47336284775321236,0.6851274407614465,-0.13010812925239923
alldata,logstd_country,216,0.2185998301439426,0.07351475579395494,0.20535836611839012,0.05376233500880376
